Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",NAME_LONG,ISO_A3
Chad,136,14,,,8,,,,,,,,,,,,,,,,,,,4,,,,,,10.0,,,,,,,,,,4.0,,,,,,,,,,,,Chad,TCD
Chile,"1,698",222,63,318,64,42,28,45,26,37,24,39,27,24,20,25,7,21,49,16,10,11,9,23,11.0,15,20,14.0,,4.0,4,4,4.0,3,23.0,7,4.0,44,4.0,13.0,4,4.0,5.0,,,9.0,,,,3,4,Chile,CHL
"China, People's Republic","81,772","22,726","11,425",923,"2,060","2,078","1,706","7,517","1,218","2,485","1,012","2,088","2,705","1,689",807,"1,157",465,447,301,416,272,707,615,361,555.0,599,303,237.0,113,261.0,191,205,152.0,27,135.0,576,258.0,177,211.0,117.0,114,188.0,142.0,104,79,140.0,248.0,59,13,39,51,"China, People's Republic",CHN
Colombia,"18,610","4,229",531,"4,209",413,325,742,143,261,506,551,107,56,183,80,114,38,91,817,74,486,27,82,69,70.0,41,80,197.0,95,35.0,165,33,42.0,8,218.0,11,67.0,42,21.0,114.0,25,20.0,85.0,6,9,45.0,13.0,7,10,78,120,Colombia,COL
Comoros,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,COM
"Congo, Democratic Republic","6,791",71,52,7,225,138,115,17,595,137,300,146,8,75,40,9,4,128,14,52,8,16,22,189,94.0,50,44,229.0,33,30.0,13,72,78.0,,41.0,,155.0,96,45.0,39.0,100,75.0,3.0,,,57.0,37.0,,,,,"Congo, Democratic Republic",COD
"Congo, Republic",625,42,3,,14,38,28,5,16,7,30,39,3,3,9,,,60,12,,6,,,11,6.0,3,,13.0,3,16.0,7,4,5.0,,,,12.0,6,5.0,3.0,13,,,,,,9.0,,,,,"Congo, Republic",COG
Costa Rica,"2,224",500,78,223,48,47,50,34,51,33,61,11,11,44,17,15,5,54,63,14,49,8,16,21,12.0,29,28,46.0,8,,3,7,18.0,,31.0,3,17.0,10,,16.0,4,7.0,,,,4.0,6.0,3,,11,8,Costa Rica,CRI
Croatia,388,59,37,11,8,27,4,11,7,9,10,9,5,3,4,,9,5,,3,5,,6,5,,5,,3.0,,,,,,,,,,4,,3.0,,,,,,,6.0,,,,,Croatia,HRV
Cuba,"66,516","1,178",252,"41,042",102,125,"3,170",62,483,57,284,20,22,74,82,77,9,519,"1,446",23,"4,234",19,"1,599",48,27.0,198,623,164.0,244,20.0,16,31,153.0,20,12.0,,37.0,26,103.0,519.0,"1,344",9.0,21.0,,,18.0,14.0,4,93,"1,307",56,Cuba,CUB
