Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
Ecuador,"9,342","5,182",264,773,201,276,120,37,40,86,70,17,87,21,5,32,31,12,94,134,14,28,82,33,6,4,11,10,4,152,18,6,41,275,4,10,33,10,17,21,3,6,3,22,7,-,4,D,D,22,5,39,967
Egypt,"8,988","3,067",784,76,446,217,149,101,179,189,83,66,268,110,52,202,41,115,77,73,16,20,113,84,24,42,9,24,D,43,33,9,42,29,42,484,38,16,D,54,-,19,16,68,81,16,4,D,4,D,31,43,"1,283"
El Salvador,"16,256","2,188","3,378",312,"2,725",115,"1,266",679,559,492,211,46,51,76,123,343,67,15,55,39,81,228,66,167,40,44,79,33,D,124,24,3,70,30,34,45,15,28,49,46,3,10,16,54,10,D,17,3,120,7,45,115,"1,902"
Equatorial Guinea,20,D,-,D,D,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,3,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Eritrea,"2,643",46,53,6,329,57,120,120,94,44,154,31,32,201,51,4,42,D,58,10,99,63,8,59,19,33,13,25,-,33,57,-,14,4,23,23,-,11,15,20,-,28,10,D,D,51,D,27,-,-,D,8,540
Estonia,227,47,11,21,7,12,-,5,4,D,3,3,D,3,3,D,D,3,3,8,5,-,3,D,3,D,-,D,-,-,D,3,D,3,D,D,-,D,-,3,D,-,D,-,-,-,-,-,-,-,D,D,53
Ethiopia,"14,544",243,328,25,"2,951",228,300,294,599,323,764,192,140,935,272,31,173,22,897,39,608,502,49,245,71,171,89,45,-,84,263,D,30,18,80,192,21,138,75,79,D,69,93,13,28,75,13,40,17,-,9,100,"2,566"
Fiji,853,12,34,D,3,D,3,179,D,-,-,4,3,57,37,34,7,-,-,D,D,8,-,-,260,24,-,-,3,-,-,13,D,-,-,-,-,-,D,D,-,-,-,D,-,-,16,-,3,-,-,3,137
Finland,348,36,31,25,14,4,7,19,21,16,5,10,3,8,38,D,D,5,D,-,D,4,-,3,4,D,-,D,-,-,D,-,D,D,-,-,-,D,-,3,-,D,D,D,-,D,-,-,-,D,D,5,67
France,"3,862",847,340,281,158,114,92,223,71,116,93,76,70,111,101,12,26,33,29,39,26,32,21,29,11,24,31,7,4,12,10,8,17,35,10,5,12,11,6,18,D,12,9,11,7,D,D,6,7,6,D,38,598
French Polynesia,30,3,6,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,11
Gabon,197,20,6,D,10,D,14,D,5,3,14,D,9,D,-,-,8,D,3,-,4,D,4,4,D,-,D,D,-,D,D,D,14,D,-,-,-,D,3,-,-,-,-,-,-,4,-,4,-,-,-,D,47
Gambia,"1,159",290,9,3,69,10,8,4,28,11,115,3,9,112,D,D,8,26,31,3,15,D,6,10,-,5,D,D,-,14,39,-,17,D,-,11,D,9,3,31,-,4,D,5,4,-,D,-,-,-,-,9,226
Georgia,"1,341",763,95,13,40,28,4,18,11,7,9,3,60,8,21,D,D,7,5,6,5,6,4,9,5,8,D,3,D,D,6,3,D,15,-,D,3,-,4,-,-,D,D,D,9,3,-,-,D,-,-,6,140
Germany,"5,812",746,313,193,209,158,126,211,94,142,122,92,117,165,132,59,56,138,39,58,43,34,79,44,29,48,42,27,31,39,26,30,19,31,15,16,25,25,23,26,D,25,15,11,19,10,11,19,7,10,18,104,"1,739"
