Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee, FL","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade-Roseville, CA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Portland-Vancouver-Beaverton, OR-WA","Columbus, OH","Austin-Round Rock, TX","Bridgeport-Stamford-Norwalk, CT","Providence-New Bedford-Fall River, RI-MA","Honolulu, HI","San Antonio, TX","Charlotte-Gastonia-Concord, NC-SC","El Paso, TX","Nashville-Davidson-Murfreesboro-Franklin, TN","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Saint Louis, MO-IL","San Juan-Caguas-Guaynabo, PR","Jacksonville, FL","Tucson, AZ","Fresno, CA","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Bakersfield, CA","Worcester, MA","McAllen-Edinburg-Mission, TX","Cleveland-Elyria-Mentor, OH",NAME_LONG,ISO_A3
Czechia,146,18,6,3,3,10,5,4,,8,,,6,4,4,,,7,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czechia,CZE
Denmark,603,69,55,15,26,18,39,22,22,17,25,15,39,5,11,3,11,6,,7,,6,,7,3.0,9,,11,8.0,,,,3.0,,,,5.0,,3.0,5.0,,,,,,,,,,,3.0,Denmark,DNK
Djibouti,54,,,,5,3,,,4,,,6,4,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,DJI
Dominica,484,155,3,35,13,,,20,,20,13,,,4,,,,,,9,,12,,,3.0,,,,6.0,,,,,,3.0,,4.0,,,,,,,,,,,,,,,Dominica,DMA
Dominican Republic,"49,414","30,228",65,"2,522",478,143,25,109,60,"3,619",244,22,22,"1,039",7,29,60,47,34,704,66,345,15,15,100.0,6,58,11,288.0,"1,074",5,20,130.0,12,18.0,16.0,154.0,52.0,79.0,16.0,7.0,"2,636",40.0,11,,,4,5,250.0,10,61.0,Dominican Republic,DOM
Ecuador,"12,128","6,552",391,"1,325",246,410,44,160,77,73,115,23,28,91,16,55,87,49,7,212,52,112,10,12,36.0,6,16,9,245.0,26,9,10,165.0,7,18.0,29.0,41.0,5.0,18.0,8.0,6.0,20,34.0,8,,11,,,33.0,5,10.0,Ecuador,ECU
Egypt,"8,844","2,841",783,76,366,232,84,150,175,167,79,74,91,233,44,136,94,46,91,111,36,86,30,31,86.0,63,60,13,21.0,38,,16,26.0,,635.0,15.0,28.0,43.0,48.0,26.0,17.0,3,15.0,11,15,22,,13,53.0,,56.0,Egypt,EGY
El Salvador,"19,909","2,651","4,280",411,"3,205",159,903,"1,635",751,463,277,61,105,33,148,429,86,100,11,63,324,53,74,62,183.0,37,20,66,45.0,44,3,47,114.0,9,61.0,45.0,8.0,32.0,44.0,42.0,3.0,22,15.0,18,113,66,42,133,39.0,9,14.0,El Salvador,SLV
Equatorial Guinea,32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,Equatorial Guinea,GNQ
Eritrea,"1,928",23,84,4,259,47,103,86,54,46,102,22,152,21,39,4,68,49,,14,70,3,13,103,13.0,20,33,3,,9,,,21.0,,10.0,25.0,,21.0,13.0,15.0,48.0,,,14,,,,,,,,Eritrea,ERI
Estonia,282,51,12,29,11,12,7,3,8,3,4,,10,6,,,4,5,,6,3,3,,3,4.0,,3,,4.0,,,,,,,,,4.0,3.0,,,,3.0,,,,,,,,,Estonia,EST
