Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",NAME_LONG,ISO_A3
Malawi,257,9,6,3,19,5,8,,8,3,10,,6,,7,,,3,,5,,,5,9,,,5.0,7.0,,8,5,4,4.0,3.0,,3.0,,5.0,,,,,,,,,,,,,,Malawi,MWI
Malaysia,"3,051",230,5,88,52,82,149,74,187,30,124,95,54,30,23,12,6,30,6,80,14,28,18,51,4,55,46.0,21.0,49,35,22,9,189.0,27.0,11.0,32.0,4.0,13.0,,3,4.0,15.0,,7.0,4.0,11.0,,,201.0,,4,Malaysia,MYS
Mali,488,196,,,27,10,12,6,,6,13,,16,,60,,,,,4,,,,12,,,22.0,4.0,,5,,3,8.0,,,,,,,,23.0,,,,,3.0,,3.0,,,,Mali,MLI
Malta,58,3,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malta,MLT
Marshall Islands,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall Islands,MHL
Mauritania,212,45,,,11,,4,,,,,,,,9,,,,,3,,,,,,,,28.0,,,7,,5.0,,,,,,,,55.0,,,,,,,,,,,Mauritania,MRT
Mauritius,67,11,,,,4,,4,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritius,MUS
Mexico,"161,858","3,417","1,178","17,289",803,"7,740","9,030","3,863","7,874",239,"2,155","2,188","1,386","6,827",750,"6,902",695,"1,154",405,"4,536",900,"1,521","2,431","2,586","1,944","1,445",184.0,235.0,"3,265","1,072",217,73,634.0,487.0,545.0,910.0,105.0,125.0,"3,785",32,211.0,906.0,"1,825",243.0,46.0,126.0,249,31.0,599.0,"2,868","1,076",Mexico,MEX
"Micronesia, Federated States",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Micronesia, Federated States",FSM
Moldova,"2,206",155,53,56,46,27,317,38,35,42,58,16,198,22,28,4,22,83,56,16,13,176,3,12,28,105,9.0,3.0,,15,,4,10.0,6.0,9.0,4.0,6.0,10.0,,,7.0,4.0,,,,34.0,4,,7.0,,,Moldova,MDA
