Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY LEADING CORE-BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee, FL","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade-Roseville, CA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Portland-Vancouver-Beaverton, OR-WA","Columbus, OH","Austin-Round Rock, TX","Bridgeport-Stamford-Norwalk, CT","Providence-New Bedford-Fall River, RI-MA","Honolulu, HI","San Antonio, TX","Charlotte-Gastonia-Concord, NC-SC","El Paso, TX","Nashville-Davidson-Murfreesboro-Franklin, TN","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Saint Louis, MO-IL","San Juan-Caguas-Guaynabo, PR","Jacksonville, FL","Tucson, AZ","Fresno, CA","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Bakersfield, CA","Worcester, MA","McAllen-Edinburg-Mission, TX","Cleveland-Elyria-Mentor, OH",Non-CBSA,Other & Unknown,,
Austria,512,80,52,23,28,15,14,5,D,26,9,13,7,10,9,9,3,6,7,3,5,3,D,D,4,3,4,-,D,3,D,9,-,-,D,3,-,D,4,D,D,-,D,-,-,D,-,-,3,-,3,6,126,,
Azerbaijan,834,198,175,13,30,10,22,13,7,16,5,7,34,19,10,3,4,D,3,D,6,D,12,3,20,5,3,6,-,D,D,3,13,-,4,8,13,D,D,3,8,-,4,3,D,D,-,-,D,-,3,5,127,,
Bahamas,751,37,3,369,5,8,5,19,5,3,45,-,D,6,D,-,3,-,7,23,D,20,-,D,6,D,3,-,3,D,-,-,12,-,7,-,3,D,8,-,D,-,9,-,-,-,-,D,D,-,D,10,116,,
Bahrain,120,21,D,-,5,7,5,6,7,-,7,-,4,D,4,D,3,D,D,D,-,-,3,-,D,D,D,-,-,-,-,-,-,-,-,-,-,D,-,D,3,-,D,-,-,D,-,-,-,-,D,-,24,,
Bangladesh,"16,651","9,195",551,353,792,149,95,232,346,234,496,45,59,579,87,105,56,99,883,101,23,62,43,27,73,17,76,63,136,28,8,16,8,-,12,10,89,31,33,17,23,4,9,D,D,9,D,5,17,4,21,42,"1,283",,
Barbados,603,313,6,43,21,4,4,3,6,36,13,D,3,14,-,D,-,3,-,D,D,6,-,-,10,4,D,D,4,D,-,D,D,-,-,-,7,D,3,-,-,-,-,-,D,-,D,-,D,-,D,8,71,,
Belarus,"2,407",476,84,53,24,163,43,9,14,69,35,21,135,118,47,10,86,4,8,17,13,17,91,41,28,31,11,8,28,4,3,5,7,-,D,3,7,5,12,D,12,-,17,D,5,D,D,D,6,-,16,15,595,,
Belgium,686,123,47,34,31,15,22,20,11,17,24,10,9,6,21,-,6,9,7,13,8,3,D,4,4,9,D,8,10,D,D,D,D,-,3,D,-,8,3,D,6,-,D,7,D,8,-,D,6,-,-,7,151,,
Belize,"1,041",183,329,50,7,107,6,46,29,4,14,3,6,5,-,24,3,21,D,8,18,8,3,D,D,5,D,3,4,-,-,8,7,-,3,-,-,-,4,-,D,-,5,D,-,D,-,-,-,D,D,8,107,,
Benin,401,53,4,D,38,30,3,8,14,7,23,4,8,17,D,-,15,-,-,D,3,D,D,21,4,-,8,4,D,-,-,-,-,-,5,D,-,17,8,D,D,-,-,4,-,-,-,-,D,-,3,6,80,,
Bermuda,108,13,5,6,7,D,-,D,D,4,11,-,D,10,-,-,D,D,D,D,D,D,-,-,D,-,-,D,-,D,-,-,D,-,-,-,3,-,-,-,-,-,-,D,-,-,-,-,D,-,-,D,27,,
Bhutan,594,26,9,-,-,20,14,-,68,8,122,6,21,-,D,-,13,26,-,-,-,-,-,3,16,12,-,-,-,-,-,3,D,-,-,27,D,-,-,5,14,-,7,23,D,-,-,-,13,-,6,-,127,,
Bolivia,"2,837",264,145,294,"1,098",28,33,92,40,40,26,10,7,17,24,34,12,8,3,14,14,26,8,9,20,4,4,6,5,71,D,8,4,D,3,16,10,D,D,5,4,3,8,D,3,4,D,-,10,4,-,6,383,,
Bosnia-Herzegovina,"1,501",69,15,14,33,126,19,24,41,24,65,16,34,16,23,4,21,51,34,13,26,46,5,25,D,12,D,5,D,6,D,3,12,-,7,25,12,6,D,9,106,D,39,D,-,D,-,-,-,-,22,7,475,,
Botswana,55,13,D,3,5,D,D,-,4,3,3,-,-,D,-,-,-,-,D,D,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,11,,
Brazil,"14,701","2,047",651,"2,502",334,178,437,222,262,"1,526",545,219,162,181,81,70,67,92,91,462,82,188,57,61,70,39,29,58,344,151,53,22,70,3,15,93,80,27,49,42,43,18,44,15,19,20,4,4,231,9,19,145,"2,468",,
British Virgin Islands,46,14,-,D,-,D,-,-,D,-,D,-,-,-,-,-,-,D,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,16,4,,
Brunei,26,3,D,-,-,-,-,4,D,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,,
Bulgaria,"3,133",317,149,84,133,516,105,31,34,111,94,36,90,55,46,24,26,62,35,27,116,53,7,27,32,17,7,15,15,7,9,4,9,D,D,15,3,14,7,7,38,-,13,D,D,4,D,5,8,-,12,60,648,,
Burkina Faso,416,150,4,-,42,6,D,17,3,3,13,-,17,13,D,-,4,3,-,D,D,-,D,5,9,-,4,3,-,-,-,-,D,-,3,D,4,4,D,-,D,-,-,-,-,-,-,-,D,-,D,D,92,,
Burma,"13,621",430,373,106,298,301,471,179,859,80,538,210,208,64,68,36,657,468,11,24,27,84,15,156,300,131,38,83,D,D,11,35,29,6,226,222,63,870,63,75,69,-,215,4,4,4,11,42,5,-,24,32,"5,393",,
Burundi,"1,505",32,-,D,29,34,D,92,130,23,79,29,31,D,-,-,5,71,-,-,8,-,3,22,4,19,5,12,D,4,-,14,D,-,32,47,4,-,7,14,14,-,28,31,-,-,-,-,19,-,6,-,650,,
Cambodia,"3,771",45,667,14,91,46,104,111,108,377,78,49,271,154,73,71,181,30,5,4,24,21,21,31,D,59,28,22,24,79,6,4,18,-,10,29,10,5,5,8,D,-,37,D,42,3,79,8,7,-,16,29,661,,
Cameroon,"3,463",154,88,17,"1,130",86,30,162,137,98,227,D,25,64,23,10,142,15,46,7,4,13,5,10,174,5,56,31,3,7,-,D,9,-,6,6,3,4,6,31,9,-,3,27,D,-,D,D,15,-,8,14,546,,
Canada,"16,140","1,352",854,596,332,442,482,488,434,410,284,280,792,251,300,200,197,363,415,146,166,210,98,192,82,172,95,132,108,52,53,47,108,8,84,81,72,73,141,60,94,7,43,47,34,46,18,32,44,16,76,435,"4,596",,
Cape Verde,"2,238",31,3,D,3,D,8,-,-,"1,427",D,-,D,6,-,-,D,-,-,6,-,D,-,-,D,-,-,-,28,645,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,62,,
Cayman Islands,45,4,D,15,D,D,-,-,-,-,D,-,-,D,D,-,-,-,D,D,-,6,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,7,,
Central African Republic,107,10,-,-,18,-,7,7,3,D,-,4,-,D,D,-,-,-,4,-,-,-,-,D,4,D,-,-,-,D,-,D,-,-,-,-,-,D,D,D,D,-,3,3,-,-,-,-,-,-,-,-,25,,
Chad,102,27,-,-,12,D,D,5,6,-,3,-,-,D,D,-,-,-,-,D,D,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,4,-,-,-,-,-,-,-,-,31,,
Chile,"2,250",320,124,488,87,36,54,59,27,33,32,34,34,36,29,43,26,17,6,26,20,13,14,27,9,8,D,10,21,5,D,3,9,D,9,32,11,D,5,11,5,9,9,6,5,6,-,3,7,D,3,30,443,,
"China, People's Republic","64,238","21,025","7,219",465,"1,512","1,560","5,659","1,228",754,"1,992",682,608,"1,200","1,333","2,106",443,438,372,384,244,453,155,454,265,458,406,197,260,159,128,560,113,163,19,136,103,141,182,175,166,257,41,118,95,64,144,86,26,151,18,189,640,"8,492",,
Christmas Island,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Colombia,"27,849","5,945",696,"7,997",611,414,198,910,312,680,919,101,113,273,62,152,101,145,32,"1,193",136,819,41,65,71,36,30,84,327,236,4,75,230,17,63,48,101,35,92,63,52,211,143,24,13,37,5,15,41,18,24,138,"3,701",,
Comoros,D,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,
"Congo, Democratic Republic","2,122",56,28,5,142,45,11,85,193,35,107,60,27,6,11,D,33,29,14,6,6,-,10,65,27,15,21,30,24,6,-,4,75,-,8,21,D,13,61,9,11,-,14,15,-,-,D,-,14,-,8,10,758,,
"Congo, Republic","1,563",75,17,7,86,61,13,60,99,21,91,9,34,9,D,D,19,93,5,4,20,D,-,37,23,11,18,8,7,5,-,11,50,-,21,10,-,D,46,6,17,-,9,15,-,D,-,D,12,-,7,3,516,,
Cook Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,,
Costa Rica,"2,384",562,95,319,73,20,20,38,37,45,72,16,19,49,10,25,11,21,6,34,20,71,7,17,8,8,4,5,23,7,D,5,41,D,10,5,-,6,16,4,-,14,9,-,D,D,-,D,D,5,D,36,582,,
Cote d'Ivoire,"2,159",548,30,7,183,35,23,36,52,29,104,9,26,118,3,3,60,46,11,3,5,14,6,27,25,5,22,13,6,39,D,6,16,-,7,20,16,21,5,34,37,-,12,20,D,-,-,D,19,-,18,D,434,,
Croatia,496,96,27,21,15,39,8,9,4,13,10,D,12,5,12,D,D,7,4,3,8,7,4,5,4,4,6,4,D,-,D,4,-,D,D,7,D,3,D,6,4,-,3,D,-,-,-,-,D,-,7,3,116,,
Cuba,"38,954","1,027",283,"26,666",49,126,42,658,161,43,199,42,22,48,7,53,17,250,6,631,728,"2,412",5,21,7,144,6,205,6,9,-,42,81,13,111,32,24,9,13,86,11,119,184,42,D,D,-,7,10,17,3,43,"4,230",,
Cyprus,142,38,9,4,D,5,5,-,4,6,3,D,D,-,6,D,D,7,D,D,D,3,-,D,D,-,-,D,-,D,-,-,D,-,-,-,D,-,-,D,D,-,-,-,D,-,-,-,-,-,D,D,26,,
Czech Republic,146,18,6,3,3,10,5,4,D,8,-,D,6,4,4,-,D,7,3,D,3,D,-,3,D,D,-,D,D,-,-,D,-,-,D,-,-,-,D,D,D,-,D,D,-,-,-,-,-,-,D,3,32,,
"Czechoslovakia, former",865,89,46,40,32,79,27,6,8,21,29,9,20,10,9,5,4,15,12,17,6,27,5,9,12,3,5,3,9,-,D,-,7,D,4,3,D,D,8,5,5,D,5,-,-,-,-,7,D,-,D,28,224,,
Denmark,603,69,55,15,26,18,39,22,22,17,25,15,39,5,11,3,11,6,D,7,D,6,D,7,3,9,D,11,8,D,-,D,3,-,D,D,5,D,3,5,-,-,D,-,D,D,-,-,D,D,3,8,108,,
Djibouti,54,-,-,-,5,3,-,D,4,-,-,6,4,-,D,-,9,D,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,10,,
Dominica,484,155,3,35,13,D,D,20,D,20,13,D,-,4,-,D,D,D,D,9,D,12,-,-,3,D,-,-,6,D,-,-,D,-,3,-,4,-,-,D,-,-,-,-,-,-,-,D,-,-,D,119,46,,
