Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
Bhutan,"2,940",25,5,D,7,18,34,7,79,18,181,29,32,-,-,-,10,-,38,-,-,-,4,78,27,19,39,89,257,20,5,D,74,-,18,80,-,-,D,D,30,94,-,38,39,-,-,-,78,-,-,D,"1,462"
Bolivia,"1,510",162,78,120,570,55,25,19,23,26,8,8,D,8,12,13,6,16,9,4,12,D,4,5,12,3,4,4,D,D,D,50,D,D,5,-,D,D,12,-,7,-,4,5,D,-,-,-,-,5,-,12,189
Bosnia and Herzegovina,846,60,16,12,16,16,103,11,23,21,30,21,3,19,13,-,18,23,4,6,-,25,16,7,4,5,6,3,D,-,4,-,4,D,3,9,3,-,14,-,3,5,10,57,-,-,-,4,10,5,-,8,222
Botswana,112,6,-,D,5,D,-,D,3,6,D,7,3,-,-,-,4,-,14,-,D,D,D,-,D,-,D,D,8,-,-,-,-,D,D,-,-,-,D,D,D,-,-,D,-,-,-,-,-,-,-,D,36
Brazil,"14,989","1,838",558,"2,174",316,380,210,481,342,"1,767",381,220,201,140,242,38,72,232,57,45,737,103,98,64,72,118,47,85,42,38,43,139,31,71,67,18,302,8,85,35,93,31,55,59,288,5,8,14,17,66,22,108,"2,326"
Brunei,24,5,3,D,D,-,-,3,-,D,D,-,-,D,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Bulgaria,"2,184",182,74,75,89,27,417,66,33,99,47,46,25,32,26,7,19,48,10,5,21,16,77,30,20,10,10,7,6,3,16,10,8,10,D,D,14,-,9,5,7,10,6,21,-,-,D,5,6,9,D,33,483
Burkina Faso,541,246,D,-,26,25,D,D,7,5,10,13,24,-,D,3,D,-,D,D,-,D,D,6,8,-,-,D,3,-,4,D,-,-,D,D,-,-,-,-,D,11,-,4,D,D,-,D,D,-,-,D,117
Burma,"12,897",242,226,26,111,222,439,359,828,43,596,156,88,38,50,19,246,23,480,14,13,9,24,260,319,72,182,243,77,137,"1,378",6,276,33,239,99,D,5,206,13,129,18,18,32,8,D,4,484,19,3,-,83,"4,299"
Burundi,"1,094",5,D,D,34,29,12,D,69,5,32,D,9,-,26,D,61,3,D,D,D,D,11,10,5,12,11,D,10,13,6,3,15,22,19,20,D,-,10,-,17,5,6,10,8,-,-,-,4,-,-,4,573
Cabo Verde,"2,618",33,-,4,9,D,-,D,D,"1,859",D,-,-,-,4,-,-,-,-,-,5,D,-,-,D,-,-,-,-,-,-,599,-,-,-,-,19,-,-,D,-,D,-,-,4,-,-,-,-,-,-,11,61
Cambodia,"4,056",37,612,8,98,152,66,86,101,415,67,318,175,93,57,99,55,25,146,33,9,D,21,24,15,21,40,29,18,8,5,73,12,D,5,17,19,-,26,9,27,25,12,D,15,45,15,9,16,-,-,76,813
Cameroon,"4,668",150,75,23,"1,265",233,111,35,264,149,186,26,90,35,10,23,64,19,187,15,17,47,20,22,252,30,5,34,101,24,25,6,4,11,41,4,D,10,4,3,6,66,D,9,43,4,D,8,11,D,-,37,858
Canada,"11,484","1,032",751,412,208,336,285,545,292,351,199,592,151,313,197,88,254,157,89,60,124,332,109,125,60,108,118,88,62,51,39,48,44,71,35,26,55,D,39,44,40,27,30,53,37,14,21,36,43,38,D,261,"2,981"
Cayman Islands,67,10,D,13,D,D,D,-,3,-,D,-,D,-,-,-,-,10,-,-,3,-,3,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,15
Central African Republic,178,10,-,D,20,D,D,D,4,D,17,-,D,D,-,D,4,-,D,-,-,-,-,6,13,-,-,3,15,-,D,-,-,-,8,-,D,-,-,-,6,4,-,-,19,-,-,-,-,D,-,-,35
Chad,205,26,-,-,13,5,9,-,D,-,10,D,D,-,-,-,-,-,D,-,-,-,-,4,5,-,-,-,4,D,3,-,-,-,6,D,D,-,D,-,6,D,7,-,D,-,-,D,6,-,-,-,84
Chile,"1,625",233,79,307,71,31,35,35,23,43,22,58,15,18,13,22,11,18,10,11,20,4,13,14,9,7,12,13,D,4,4,5,7,9,7,D,17,-,3,D,30,D,4,9,D,-,D,5,D,6,D,10,345
"China, People's Republic","71,565","18,222","9,999",785,"1,908","1,673","1,793","6,769","1,122","2,262",925,"1,896","1,696","2,926",819,"1,147",397,238,368,683,269,383,591,332,403,266,520,212,206,102,192,155,159,303,137,65,121,23,84,444,119,163,140,275,118,97,100,112,177,34,38,542,"9,055"
Colombia,"17,956","4,142",470,"3,863",457,687,299,159,271,594,472,84,217,66,92,106,111,542,54,23,698,30,120,70,65,59,35,221,35,94,24,148,37,66,42,11,197,14,117,6,44,26,69,44,40,5,12,21,11,104,90,145,"2,547"
Comoros,D,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"Congo, Democratic Republic","8,709",67,56,12,196,161,197,17,683,141,340,109,55,5,89,8,265,22,54,D,43,13,70,169,64,69,34,185,50,49,73,20,144,135,68,107,31,-,41,-,77,112,20,103,66,D,D,35,61,-,-,208,"4,179"
"Congo, Republic",632,30,4,4,13,29,29,4,25,9,18,9,7,D,31,-,61,D,9,-,5,D,4,20,3,D,8,6,6,D,6,8,3,10,D,9,-,-,-,-,D,7,3,D,D,-,-,4,D,-,-,4,230
Costa Rica,"2,184",555,76,179,45,51,43,28,41,43,46,27,52,18,22,16,62,54,18,10,35,6,18,14,5,21,33,50,7,11,10,4,12,15,D,3,21,D,6,-,3,5,D,9,7,D,D,3,D,5,12,18,456
Cote d'Ivoire,"1,810",420,11,3,190,53,22,26,112,22,103,35,90,4,7,8,9,14,38,7,D,20,10,17,28,D,-,22,35,D,15,5,4,6,5,D,D,-,D,-,14,24,5,12,4,-,-,5,52,-,-,13,331
Croatia,375,70,27,19,18,7,27,11,9,17,11,3,6,10,4,D,11,7,D,-,D,5,4,7,4,4,-,D,-,D,D,-,-,4,D,D,D,-,5,D,D,D,-,D,-,-,-,4,4,D,-,D,55
Cuba,"65,028","1,114",258,"36,786",70,"3,516",101,64,812,41,205,38,44,20,118,70,526,"4,843",23,6,"1,504",23,"1,881",96,21,749,237,155,17,337,46,11,196,80,129,"1,735",13,18,567,D,54,30,20,41,9,D,3,7,3,"1,267",52,276,"6,792"
Curacao,34,11,D,6,D,-,-,-,D,-,D,D,D,-,-,-,-,D,-,-,D,-,-,-,D,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,2
