Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA",Non-CBSA,Other & Unknown,,
Czech Republic,676,68,31,24,24,52,13,27,D,19,12,10,18,10,12,6,7,7,4,14,4,10,20,D,15,4,6,D,-,3,D,4,6,8,-,4,10,D,-,-,-,D,4,D,D,3,D,-,-,D,5,13,184,,
"Czechoslovakia, former",74,3,D,6,3,7,D,D,D,-,D,4,-,D,D,D,-,-,D,-,-,3,D,-,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,D,-,-,D,-,-,-,-,-,-,21,,
Denmark,506,60,39,16,17,18,25,44,7,22,18,7,20,13,11,8,-,D,4,5,D,10,D,3,6,D,12,-,3,D,-,-,7,D,-,D,8,D,D,D,-,D,-,D,D,-,3,6,D,4,D,7,82,,
Djibouti,90,D,-,-,8,D,D,-,3,D,-,D,4,-,-,-,-,D,10,-,D,-,-,D,3,-,-,-,-,D,7,-,-,D,-,-,-,D,7,-,-,D,-,-,-,-,-,-,-,-,-,-,31,,
Dominica,244,72,-,11,13,D,12,-,D,13,5,3,-,-,D,-,3,D,-,3,D,-,5,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,D,-,78,16,,
Dominican Republic,"41,311","24,891",51,"2,102",384,86,133,25,81,"2,902",179,"1,106",25,D,17,6,44,44,35,644,100,34,267,7,9,10,4,4,26,97,68,D,263,18,901,36,77,29,17,128,13,10,48,29,D,185,D,25,"1,937",22,D,367,"3,816",,
East Timor,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Ecuador,"10,591","5,893",335,871,193,450,107,36,69,79,83,95,16,6,13,51,9,23,145,143,25,33,88,5,13,8,13,8,8,189,11,6,280,11,23,7,17,16,26,35,-,8,21,8,D,27,4,9,16,D,D,35,"1,019",,
Egypt,"10,294","3,151","1,161",101,489,184,191,147,229,207,80,240,150,44,47,275,87,43,77,200,76,23,212,32,12,33,55,4,14,31,46,5,12,712,80,54,72,18,D,11,-,15,14,116,18,58,16,23,D,11,23,37,"1,354",,
El Salvador,"18,260","2,136","3,848",389,"3,078",113,"1,501",783,622,503,251,49,99,138,52,375,9,109,106,51,176,247,54,73,74,81,46,9,64,98,25,4,38,61,39,41,63,45,66,18,7,5,15,14,128,50,46,6,8,6,-,130,"2,311",,
Equatorial Guinea,18,D,-,-,D,-,5,D,D,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,,
Eritrea,"2,138",31,62,6,333,42,108,138,95,41,97,18,190,50,29,3,7,28,47,6,27,58,D,9,70,16,25,D,10,29,39,-,3,10,-,19,19,3,10,D,-,17,11,-,-,-,-,11,-,12,-,12,392,,
Estonia,211,36,15,13,14,8,D,10,7,D,D,5,6,D,D,D,D,D,6,3,3,D,-,D,6,D,D,D,-,-,D,D,-,-,-,D,D,D,-,D,-,D,D,D,-,-,-,4,-,-,-,3,43,,
Ethiopia,"13,097",198,293,34,"2,968",197,293,268,586,281,654,150,952,227,170,26,33,110,862,19,194,477,39,84,540,76,153,D,31,74,204,5,12,151,8,61,59,119,51,8,-,76,65,16,19,7,4,64,D,24,6,97,"2,048",,
Fiji,895,7,55,D,6,6,5,150,5,D,6,D,67,21,7,28,-,6,-,-,D,8,3,240,D,-,46,D,-,-,D,7,-,D,-,D,-,-,-,-,-,-,-,-,D,-,4,-,-,-,D,5,197,,
Finland,331,32,18,20,13,5,12,14,5,20,5,13,13,28,26,-,D,5,D,D,D,D,D,-,D,4,4,-,-,-,-,-,D,D,D,4,-,5,D,-,D,D,-,D,-,-,-,D,-,D,-,4,64,,
France,"4,425",980,328,285,150,105,109,315,86,187,62,77,130,158,89,22,40,31,29,42,29,41,38,14,16,34,32,D,6,28,10,12,25,12,11,10,8,13,8,6,D,14,8,13,7,13,16,15,5,16,13,45,678,,
Gabon,127,19,4,D,12,3,8,D,D,5,5,7,D,-,-,D,3,-,D,-,5,-,-,-,D,D,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,40,,
Gambia,"1,018",280,8,D,67,D,9,6,25,3,108,8,101,-,-,D,21,6,20,D,6,D,3,-,4,-,9,-,D,11,24,-,D,D,20,D,37,13,D,D,-,D,D,D,-,10,-,6,-,D,5,8,180,,
Georgia,"1,368",724,93,23,42,32,7,15,16,11,17,98,8,11,6,3,3,4,7,7,10,6,D,10,6,D,28,-,D,7,6,D,15,D,-,D,D,-,6,-,-,D,D,5,D,D,D,10,-,-,D,14,100,,
Germany,"6,032",689,335,185,210,146,126,269,110,164,150,96,120,153,106,46,115,67,28,66,38,39,60,45,32,33,50,34,35,56,18,35,32,7,21,18,31,17,15,21,D,37,22,23,7,8,25,48,D,22,29,134,"1,854",,
Ghana,"10,265","3,061",104,28,"1,376",299,124,54,257,154,478,361,56,10,26,59,47,37,148,41,241,16,33,13,189,33,18,10,12,71,426,-,30,54,51,17,37,30,18,137,-,26,21,23,4,379,D,119,D,12,13,39,"1,470",,
Gibraltar,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Greece,"1,361",322,64,42,40,77,33,39,17,102,12,59,9,16,15,8,22,10,D,4,22,7,32,5,6,D,3,-,5,3,6,D,24,D,11,-,D,3,D,13,D,5,3,18,-,15,D,D,-,12,8,8,246,,
Greenland,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Grenada,687,518,D,30,16,-,10,D,4,8,5,D,6,D,-,D,-,-,-,3,5,-,-,D,8,-,D,-,D,-,D,-,4,-,-,-,D,-,-,5,-,-,D,D,-,-,-,-,-,-,-,9,40,,
Guatemala,"10,224",861,"2,181",454,498,364,231,607,186,382,177,80,57,59,144,309,9,133,43,25,50,136,50,29,63,38,105,6,45,11,7,4,102,46,230,18,21,32,25,16,9,9,12,9,13,30,49,33,5,7,7,171,"2,036",,
Guinea,"1,518",771,D,D,130,10,13,D,16,27,72,96,16,-,D,-,13,7,15,D,16,D,3,D,6,D,-,-,-,7,65,-,D,-,8,22,5,4,D,-,-,D,3,D,-,-,-,D,-,3,6,D,163,,
Guinea-Bissau,43,5,D,-,4,-,-,-,-,7,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,16,,
Guyana,"5,897","4,341",20,216,147,20,21,4,11,27,94,60,4,-,4,10,7,4,90,149,23,8,44,-,4,D,-,D,D,9,D,-,10,5,6,3,8,D,-,35,-,-,8,7,-,6,D,D,-,-,D,26,454,,
Haiti,"20,351","4,964",21,"7,347",193,94,30,24,33,"1,601",246,375,18,10,10,7,16,16,31,"1,245",32,10,228,D,23,11,8,-,12,21,20,-,267,19,115,19,15,27,7,42,D,12,113,4,-,45,3,6,4,3,10,255,"2,736",,
Holy See,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Honduras,"8,898","1,355",672,"1,344",463,177,632,111,232,155,168,70,65,43,38,90,12,43,35,105,77,69,101,21,27,89,21,14,86,82,13,D,70,39,27,34,63,51,18,21,14,13,24,10,14,11,15,10,10,9,D,111,"1,920",,
Hong Kong,"2,226",384,397,17,62,54,44,339,29,65,16,40,133,122,18,19,11,15,7,10,18,17,8,28,D,15,17,-,D,5,5,27,3,D,D,7,4,6,3,7,-,4,D,D,D,D,D,3,D,4,D,4,242,,
Hungary,"1,052",169,84,94,33,21,12,20,16,34,9,17,15,32,18,6,9,7,4,10,D,36,37,6,3,9,D,D,5,3,4,6,13,6,3,D,6,D,4,-,-,3,10,11,-,3,3,7,-,D,4,9,241,,
Iceland,139,23,22,4,5,-,D,6,10,3,-,D,6,D,D,D,D,-,3,D,D,-,D,-,-,D,D,-,-,D,D,-,D,-,-,D,-,-,-,-,-,-,D,-,-,D,-,-,-,D,-,D,33,,
India,"68,458","10,818","2,417",499,"2,677","4,120","2,348","3,514","2,905","1,524","2,036","2,415","2,066","3,317",622,485,"1,463",708,785,295,832,112,514,899,279,628,360,5,222,565,512,12,353,234,155,389,640,318,147,523,30,479,225,408,528,293,205,331,6,316,359,443,"12,122",,
Indonesia,"2,731",275,438,26,100,45,89,163,49,58,60,115,133,60,42,180,20,32,20,9,25,19,14,28,51,16,24,D,6,16,23,6,D,D,-,13,6,8,3,D,-,7,3,6,4,D,12,5,D,15,11,39,449,,
Iran,"12,863",442,"3,492",150,881,262,589,555,503,231,355,119,355,570,445,128,76,168,66,72,119,119,59,239,86,115,130,6,127,40,49,3,18,66,32,21,72,35,74,18,D,41,60,38,35,21,94,21,D,28,41,36,"1,558",,
Iraq,"9,552",86,393,25,299,420,350,42,302,94,113,75,171,51,"1,334",51,"1,948",431,20,43,48,67,49,79,90,135,77,9,108,16,110,D,D,190,10,38,48,60,103,8,-,77,69,31,15,91,-,D,-,62,23,17,"1,670",,
Ireland,"1,626",344,77,36,49,60,23,114,21,175,17,26,74,31,27,6,6,25,12,19,9,4,13,3,6,42,10,D,7,13,3,4,11,8,9,5,4,8,3,D,-,7,D,3,-,8,D,5,D,-,5,21,266,,
Israel,"3,996","1,012",397,295,105,108,61,137,101,188,74,72,121,236,76,27,31,23,17,19,19,92,25,19,26,12,24,D,7,12,23,6,15,13,D,5,15,16,-,13,D,21,9,24,4,10,13,3,D,10,13,19,421,,
Italy,"2,960",637,209,274,116,98,59,120,44,129,44,56,44,64,54,19,47,18,17,21,25,28,35,11,17,16,26,6,5,17,25,10,13,12,8,10,16,D,7,8,D,4,13,11,D,12,7,16,7,5,23,17,476,,
Jamaica,"19,400","7,215",131,"3,760",626,157,147,23,103,307,700,533,13,7,21,28,49,51,25,479,254,38,215,7,12,16,23,10,24,57,32,5,345,23,58,24,31,18,13,455,D,29,74,44,-,27,5,14,D,25,35,191,"2,918",,
Japan,"5,925",749,"1,059",54,132,144,73,309,72,111,82,70,227,228,203,62,90,35,30,29,43,48,23,28,32,33,83,8,19,11,37,388,17,14,5,15,15,17,20,8,D,17,13,13,D,9,16,12,5,14,30,138,"1,030",,
Jordan,"4,188",488,211,65,125,500,138,102,140,53,53,100,24,26,39,120,141,43,25,31,23,18,58,20,20,12,20,D,29,40,86,D,D,21,5,19,30,24,11,12,-,52,12,79,25,5,6,40,11,57,18,47,959,,
Kazakhstan,"1,241",279,73,68,71,49,44,31,11,36,13,27,39,25,21,5,4,10,9,13,12,9,7,33,11,6,18,3,4,6,5,D,8,5,D,D,D,9,D,D,-,5,5,6,3,D,D,3,-,7,5,9,225,,
Kenya,"6,123",304,134,19,203,62,174,71,454,262,238,195,368,31,60,53,15,78,517,37,162,33,14,34,44,35,42,11,12,34,122,4,5,25,14,38,45,129,45,5,-,65,14,13,7,89,5,14,-,11,25,55,"1,697",,
Kiribati,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
"Korea, North",48,11,8,-,5,-,D,D,4,-,-,D,-,D,-,-,-,-,-,-,D,-,D,-,D,-,-,-,D,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,7,,
"Korea, South","23,166","3,472","5,382",90,"1,315",702,302,601,682,378,953,518,682,707,402,323,182,143,93,73,361,146,81,110,129,207,194,15,49,51,54,204,31,72,15,61,110,72,43,46,31,98,41,40,14,22,53,47,-,38,90,270,"3,371",,
Kosovo,839,352,4,16,3,31,19,3,20,10,11,7,3,5,3,D,21,10,3,3,5,3,16,D,5,D,4,D,D,D,D,-,14,4,-,D,-,D,D,22,-,14,D,D,-,-,-,5,-,14,9,D,177,,
Kuwait,937,105,58,21,48,58,36,16,53,17,9,23,12,18,9,16,28,11,6,11,10,D,9,4,8,4,5,3,10,4,10,D,D,7,D,4,13,7,3,3,D,13,4,23,D,3,3,7,-,10,5,7,194,,
Kyrgyzstan,652,142,26,3,37,69,13,22,5,13,13,24,20,15,5,7,D,D,9,14,6,6,5,9,6,D,7,-,3,5,-,D,4,D,3,D,D,-,3,D,-,3,D,D,-,-,-,14,-,D,4,5,118,,
Laos,923,D,45,5,19,13,13,13,26,10,13,10,17,6,13,10,4,3,171,5,7,9,3,33,5,3,10,D,D,7,5,5,D,24,8,D,D,9,9,6,-,D,D,D,50,7,D,D,-,28,D,10,275,,
Latvia,424,73,28,24,15,22,6,9,7,11,10,4,8,8,D,D,D,3,6,4,5,-,10,D,D,-,D,-,3,-,D,-,4,D,5,D,D,D,-,-,-,D,5,7,D,D,D,-,D,D,-,10,114,,
Lebanon,"2,783",209,273,68,154,60,133,56,60,181,31,23,30,15,47,51,540,27,13,16,8,9,35,11,5,16,20,D,14,20,16,-,8,5,20,16,6,10,6,4,-,9,9,51,9,26,4,11,D,4,15,25,400,,
Lesotho,20,D,D,-,-,-,-,D,-,-,3,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,,
Liberia,"3,334",267,18,10,231,24,46,22,73,54,153,687,30,3,3,8,34,41,402,D,101,8,D,10,18,8,17,D,7,90,30,D,6,9,132,15,12,10,7,8,-,22,10,13,-,48,D,7,-,4,4,7,618,,
Libya,376,24,19,5,11,17,11,4,9,3,8,4,18,5,7,11,17,D,D,4,-,D,D,6,7,4,6,D,-,4,12,-,D,-,4,3,D,-,D,D,-,D,D,D,D,-,D,-,-,-,D,5,126,,
Lithuania,854,106,23,41,17,281,5,14,7,18,15,18,15,D,8,4,10,9,7,4,6,9,12,D,D,D,D,-,-,9,5,D,10,4,D,4,-,4,5,4,-,D,D,6,-,4,3,8,D,3,7,9,122,,
Luxembourg,40,5,3,4,D,D,D,D,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,D,-,13,,
Macau,106,16,15,D,D,5,9,23,-,8,3,D,D,3,-,D,-,-,D,-,-,D,-,D,-,-,3,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,,
Macedonia,895,292,8,22,9,160,11,4,10,11,5,6,6,D,5,-,36,5,D,3,-,15,4,-,3,3,3,-,D,D,10,-,8,D,D,D,-,8,-,D,-,5,-,5,D,-,D,6,D,6,D,28,185,,
Madagascar,95,13,3,-,30,D,D,-,D,D,-,4,3,D,-,-,-,-,D,-,3,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,24,,
Malawi,159,7,D,-,14,D,3,D,14,3,6,D,3,-,D,6,10,D,6,-,5,-,-,-,3,D,-,-,4,-,-,D,D,D,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,D,D,53,,
Malaysia,"2,477",320,149,11,51,60,87,112,132,34,95,37,86,63,16,18,12,32,31,12,33,9,7,22,27,32,17,3,5,33,16,12,5,25,6,110,9,37,7,D,D,13,25,5,5,D,11,4,-,12,3,15,605,,
Maldives,5,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Mali,667,292,D,D,37,13,27,6,-,D,13,84,8,-,D,D,D,D,5,D,35,D,4,-,22,-,-,-,-,3,6,-,D,-,D,3,-,D,D,-,-,D,-,4,-,-,-,21,D,3,D,D,56,,
Malta,43,16,D,D,D,-,D,D,-,-,D,-,D,-,-,-,D,D,D,-,-,-,-,-,D,-,D,-,-,-,D,-,-,-,-,-,D,D,D,D,-,-,-,-,-,-,-,D,-,-,-,-,6,,
Marshall Islands,46,D,-,-,D,-,D,D,D,-,-,D,D,-,-,-,D,-,5,-,-,-,-,D,-,-,D,-,-,-,-,D,-,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,D,23,,
Mauritania,354,97,D,D,16,D,D,-,D,3,5,10,5,-,-,-,3,D,-,-,3,-,-,-,3,-,-,-,-,-,45,-,-,-,D,6,D,D,-,-,-,8,-,D,-,-,-,44,-,-,-,D,88,,
Mauritius,83,15,4,D,15,-,3,3,D,D,D,D,D,3,D,-,-,D,D,-,D,-,-,-,-,-,-,-,-,D,D,D,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,17,,
Mexico,"135,028","2,046","16,219","1,167",646,"6,444","7,679","2,565","7,119",198,"1,506",611,962,"1,452","5,804","6,097",527,"4,221",616,317,140,"1,803",326,"1,168","1,846","1,565",779,"4,747","2,488",401,145,38,71,343,67,271,298,673,668,31,"2,865",158,52,119,"1,301",19,"1,042",142,80,424,49,"3,569","41,144",,
"Micronesia, Federated States",4,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Moldova,"2,485",280,56,59,71,155,18,56,11,65,62,48,201,19,11,4,12,13,49,167,18,33,14,188,22,4,92,D,3,14,3,D,6,4,D,9,10,D,5,4,-,7,5,21,D,4,-,13,-,D,11,35,592,,
Monaco,8,-,D,3,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Mongolia,729,22,76,3,154,58,3,130,3,-,4,7,45,11,-,D,D,3,D,-,12,6,D,21,36,D,-,-,-,D,-,D,D,D,-,-,-,D,8,-,-,D,-,3,-,-,-,-,-,5,5,6,92,,
Montenegro,265,137,10,4,3,14,-,D,6,D,D,D,D,D,D,D,39,-,D,D,D,3,D,D,D,-,-,-,-,D,-,-,D,D,-,D,-,D,-,4,-,-,D,-,-,-,-,-,-,-,D,D,15,,
Morocco,"3,336",551,82,81,271,136,49,60,62,341,53,152,41,20,21,12,29,12,35,168,39,26,52,19,61,15,10,D,10,18,40,D,17,5,27,13,82,15,D,14,-,6,15,12,D,4,D,34,3,8,7,32,567,,
Mozambique,73,5,3,D,6,D,6,D,D,-,D,-,-,D,-,-,-,-,-,-,D,-,-,-,D,-,D,D,-,-,-,-,-,-,D,-,-,-,D,D,-,-,-,D,-,-,-,-,-,-,-,D,31,,
Namibia,57,9,-,-,8,-,D,D,-,-,D,D,-,3,-,-,D,D,D,-,3,-,-,-,-,-,-,-,D,-,-,-,3,D,-,-,D,3,-,-,-,-,-,-,-,D,-,-,-,-,-,3,11,,
Nauru,3,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,,
Nepal,"13,046","1,358",334,36,"1,056",252,344,482,870,429,435,164,227,143,51,37,41,84,174,17,545,18,18,117,289,199,89,D,61,134,169,10,21,80,37,17,56,88,90,100,-,89,24,52,4,75,4,51,D,44,159,77,"3,789",,
Netherlands,"1,142",123,60,45,42,33,58,46,11,43,26,20,31,32,12,7,7,19,18,21,6,4,16,7,10,16,10,-,D,7,5,7,18,5,7,3,8,4,3,D,D,7,D,9,D,D,7,3,6,-,9,37,265,,
Netherlands Antilles,128,32,D,18,5,D,D,D,6,3,4,D,-,-,-,D,-,D,D,8,-,-,4,-,-,-,-,D,-,D,-,D,D,-,D,-,D,D,-,-,-,-,D,-,-,D,-,D,-,-,D,9,16,,
New Caledonia,6,-,-,-,D,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
New Zealand,921,102,95,12,21,18,22,51,17,25,6,5,41,21,24,13,9,9,5,4,6,D,3,9,23,8,28,-,-,9,3,9,7,3,6,3,3,D,10,D,-,5,4,D,D,D,D,-,-,D,3,27,242,,
Nicaragua,"3,048",154,287,"1,144",144,39,96,178,42,19,32,32,16,28,16,56,3,15,17,33,11,26,17,15,8,13,6,3,20,25,3,D,D,5,3,15,7,D,3,3,7,4,12,7,6,D,8,D,20,9,D,25,406,,
Niger,37,8,-,-,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,21,,
Nigeria,"13,840","1,977",427,137,"1,203",684,"1,488",194,821,300,858,379,84,28,47,171,157,91,262,58,685,33,63,61,66,95,19,34,54,68,86,D,26,90,96,310,104,65,12,46,5,40,48,79,21,28,D,73,-,34,44,65,"2,019",,
Niue,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Norway,335,28,20,7,9,4,42,20,6,8,5,8,13,6,3,9,D,3,7,4,3,3,4,D,-,D,D,-,-,D,D,3,5,-,D,D,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,5,95,,
Oman,73,4,7,D,9,D,13,4,3,D,D,3,D,D,-,-,-,D,D,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,,
Pakistan,"13,251","3,121",417,196,"1,022",824,995,342,528,174,265,352,202,162,50,131,278,61,118,100,336,41,58,188,42,110,24,D,38,26,80,10,44,26,47,66,49,86,21,59,9,50,20,31,8,24,18,17,D,51,57,64,"2,210",,
Palau,16,D,D,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,,
Panama,"1,234",225,51,149,50,28,33,13,21,24,44,12,12,4,12,11,3,10,5,35,13,8,27,4,7,11,3,D,16,5,4,-,-,5,5,4,3,8,D,-,-,7,5,D,-,6,-,3,8,D,-,8,325,,
Papua New Guinea,27,-,3,-,5,D,-,D,D,D,D,D,D,-,-,-,-,D,D,D,-,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,3,,
Paraguay,448,194,14,59,22,-,8,4,D,3,6,D,D,5,D,-,D,-,D,-,9,D,D,D,D,D,D,-,D,-,-,-,12,-,D,D,-,D,D,6,4,D,D,D,-,-,-,D,4,D,D,5,62,,
Peru,"12,564","3,001",919,"1,908","1,040",154,274,398,252,122,228,92,80,105,65,204,12,45,40,196,67,78,179,33,100,41,38,6,36,105,37,10,163,17,40,39,31,38,140,158,19,13,34,22,12,19,32,31,24,18,10,95,"1,744",,
Philippines,"54,446","4,098","7,553",703,"1,311","2,185","1,059","3,790",551,259,219,506,"1,301","1,441","2,073","1,515",322,589,284,415,465,"1,448",293,915,154,139,278,47,275,93,100,"2,624",76,232,73,114,110,126,70,63,80,131,282,114,211,33,353,145,3,63,59,"2,290","12,813",,
Poland,"6,430","1,946",143,117,89,"2,059",41,43,40,112,40,133,42,44,31,20,96,40,13,8,24,22,58,23,26,12,4,D,10,14,D,11,79,5,28,9,12,5,8,146,-,10,13,21,D,36,9,9,-,24,13,45,693,,
Portugal,918,264,21,41,25,8,10,22,4,79,8,14,10,24,7,D,7,5,6,3,5,D,4,D,-,4,-,-,3,D,D,D,14,3,158,-,D,D,D,4,-,D,D,D,D,-,-,D,D,-,D,5,138,,
Puerto Rico,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,,
Qatar,191,26,11,D,12,5,11,8,10,D,5,3,D,D,8,D,7,D,-,-,10,-,-,D,D,-,D,-,D,D,-,-,-,D,-,D,-,12,-,-,-,D,D,3,-,-,D,D,-,3,-,D,32,,
Romania,"3,773",438,192,241,183,340,65,83,55,70,126,66,173,61,33,41,118,130,13,20,30,50,22,36,32,12,80,D,11,24,4,8,37,16,18,9,5,8,7,8,3,9,17,68,4,4,D,15,D,9,15,38,720,,
Russia,"9,753","1,974",749,501,392,333,199,348,103,326,168,248,457,270,168,43,66,46,97,88,89,67,80,181,108,26,123,8,17,53,26,14,58,24,26,15,46,29,28,26,-,35,33,54,6,17,15,37,4,17,66,106,"1,743",,
Rwanda,540,9,3,5,21,10,31,D,35,26,23,3,D,D,5,3,D,15,D,D,8,D,D,5,13,7,3,-,6,4,6,-,D,8,4,-,6,3,25,-,D,D,3,-,-,9,-,7,-,D,13,D,202,,
