Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI",NAME_LONG,ISO_A3
El Salvador,"19,273","2,547","3,972",413,"3,062","1,599",139,924,723,531,256,150,62,66,92,393,12,90,87,51.0,58,61,198,193.0,91,43.0,74,137.0,67,22.0,66.0,32.0,4,,56.0,80.0,58.0,57.0,36.0,19.0,,30.0,14.0,18.0,13,14.0,44.0,25.0,89,27.0,13.0,El Salvador,SLV
Equatorial Guinea,15,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,GNQ
Eritrea,"2,002",31,53,7,281,98,23,123,82,31,120,48,17,18,160,5,4,22,45,3.0,,12,34,27.0,55,19.0,13,33.0,18,43.0,11.0,4.0,,,9.0,13.0,18.0,9.0,3.0,,10.0,7.0,12.0,6.0,,9.0,,,,10.0,15.0,Eritrea,ERI
Estonia,220,45,13,14,13,6,11,6,4,5,,6,,3,5,,,,3,11.0,7,,4,3.0,5,3.0,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,Estonia,EST
Ethiopia,"12,300",179,254,25,"2,856",279,192,278,499,220,727,183,134,139,812,30,24,105,954,23.0,24,63,377,182.0,481,157.0,71,72.0,33,222.0,120.0,15.0,,,74.0,6.0,63.0,33.0,137.0,21.0,70.0,52.0,52.0,21.0,,67.0,13.0,,6,21.0,29.0,Ethiopia,ETH
Fiji,802,16,24,3,3,4,,165,5,,,30,4,,75,19,,4,,,,212,,,,6.0,,,,,,,,6,,,,,,,,,,,,,,14.0,,,,Fiji,FJI
Finland,350,27,22,27,14,5,4,16,14,6,9,29,27,6,11,,4,6,14,,3,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,Finland,FIN
French Polynesia,24,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,French Polynesia,PYF
Gabon,167,34,3,,23,24,3,,4,3,5,,,,,,,3,,,,,,3.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,Gabon,GAB
Gambia,"1,111",345,5,,71,4,6,4,32,10,81,,,11,130,,18,4,46,,,,4,17.0,3,4.0,,10.0,,24.0,4.0,,,,6.0,22.0,27.0,,12.0,5.0,,,17.0,,,7.0,,,,3.0,,Gambia,GMB
Georgia,"1,240",735,82,21,34,7,20,27,6,11,14,10,6,61,9,,4,,7,4.0,6,5,3,13.0,8,4.0,,,3,4.0,,15.0,,,,,,4.0,,,,,,5.0,,6.0,,,,,,Georgia,GEO
Germany,"5,584",727,364,215,188,118,116,244,85,169,113,148,99,107,128,40,118,53,45,68.0,67,32,38,40.0,38,34.0,30,53.0,35,20.0,21.0,29.0,27,34,19.0,15.0,29.0,17.0,20.0,13.0,35.0,25.0,13.0,27.0,,23.0,8.0,,11,47.0,12.0,Germany,DEU
Ghana,"7,115","2,093",73,18,957,101,209,35,168,103,295,13,25,230,58,33,32,17,110,16.0,22,17,8,172.0,125,16.0,24,52.0,11,269.0,41.0,18.0,,5,30.0,38.0,24.0,9.0,20.0,111.0,15.0,9.0,11.0,23.0,,87.0,280.0,5.0,,38.0,13.0,Ghana,GHA
Greece,"1,235",369,60,34,40,20,76,27,5,77,13,18,14,52,20,6,22,4,4,4.0,24,,10,22.0,,,6,12.0,,,6.0,8.0,,3,5.0,7.0,,3.0,,11.0,,5.0,,3.0,,,13.0,,,8.0,11.0,Greece,GRC
Grenada,633,466,4,17,24,8,,,9,7,7,,,8,,,,,,6.0,6,,,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,5.0,,Grenada,GRD
Guatemala,"10,238",878,"2,013",448,544,278,292,679,185,372,155,47,160,81,76,256,5,100,60,46.0,52,22,104,64.0,45,111.0,36,36.0,61,6.0,32.0,146.0,5,,22.0,270.0,31.0,44.0,34.0,10.0,9.0,13.0,21.0,10.0,7,40.0,27.0,24.0,,12.0,5.0,Guatemala,GTM
Guinea,"1,375",678,12,,98,8,10,,10,35,48,,,94,10,,9,5,27,,,5,,30.0,10,,5,6.0,,50.0,,,,,17.0,4.0,12.0,,,3.0,,4.0,7.0,,,,,,,,6.0,Guinea,GIN
Guinea-Bissau,30,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"6,267","4,673",31,188,140,24,16,10,31,24,128,,3,54,4,4,5,5,77,142.0,34,,5,28.0,6,5.0,,4.0,,4.0,5.0,6.0,,,,,3.0,,4.0,63.0,,10.0,,7.0,,,,,,4.0,,Guyana,GUY
