Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
Rwanda,"1,357",5,D,3,19,41,26,D,96,18,61,18,3,9,4,19,3,45,10,3,-,D,8,22,13,23,34,12,17,5,4,8,13,-,D,D,14,49,5,26,24,9,D,D,-,14,4,-,-,-,-,D,656
Saint Kitts and Nevis,250,62,D,28,3,D,D,-,4,D,12,-,-,D,-,D,-,D,7,-,6,-,-,-,3,-,D,3,-,-,D,-,-,-,3,-,-,-,-,D,D,-,4,-,-,-,-,-,D,D,8,58,30
Saint Lucia,777,388,7,30,10,5,23,3,10,18,20,3,D,9,-,D,4,D,26,D,11,-,D,D,4,D,3,D,-,-,6,-,-,-,3,-,-,-,D,-,-,-,31,-,-,3,D,-,-,-,-,49,96
Saint Pierre and Miquelon,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Vincent and the Grenadines,422,270,4,11,13,D,3,D,D,6,11,D,-,12,-,-,D,-,4,-,D,D,D,-,4,-,-,D,-,-,D,3,D,-,D,-,5,-,-,D,-,3,D,-,-,D,-,-,-,-,-,10,45
Samoa,219,-,22,-,D,-,D,3,-,-,-,33,7,-,D,5,-,3,3,-,D,D,4,-,-,5,D,D,-,-,-,-,-,D,-,29,-,32,D,-,-,-,-,D,-,-,-,D,-,-,-,4,54
Sao Tome and Principe,12,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,1
Saudi Arabia,"2,117",221,165,26,155,114,101,69,87,48,24,40,31,38,22,28,82,17,26,24,7,13,10,24,23,33,6,11,8,42,4,14,5,-,D,D,12,4,15,8,5,16,11,6,9,4,16,3,D,D,-,14,471
Senegal,"1,533",496,12,7,101,16,22,6,17,29,76,28,D,26,5,3,36,4,4,5,7,D,D,9,32,3,4,12,3,91,47,25,7,-,D,D,15,-,11,5,34,65,3,D,D,3,3,-,-,-,-,16,235
Serbia,"1,351",224,70,76,51,308,9,34,8,24,22,14,20,12,30,9,12,15,8,D,17,10,26,6,7,7,12,10,3,6,D,10,D,D,4,D,D,5,D,7,3,D,4,-,-,3,17,-,-,3,D,11,220
Serbia and Montenegro (former),202,81,11,4,3,10,D,D,3,7,4,D,D,3,D,-,13,D,-,D,-,-,D,-,D,-,D,D,-,-,-,-,-,-,3,D,-,-,D,D,-,-,D,-,D,-,D,-,-,D,-,D,32
Seychelles,16,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,5,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,D
Sierra Leone,"1,535",241,26,4,432,14,28,13,45,39,63,18,13,164,3,3,5,23,D,31,3,15,4,D,40,8,4,11,D,86,4,7,8,D,3,-,4,3,5,3,D,D,D,3,-,D,-,-,-,-,-,10,135
Singapore,812,134,69,9,26,34,40,89,16,11,7,38,54,7,17,6,3,5,4,3,4,D,D,6,4,8,12,D,4,3,3,-,4,-,8,5,6,D,-,3,-,3,3,-,-,D,D,D,D,-,-,12,143
Sint Maarten,42,14,-,3,-,D,-,-,-,D,3,-,-,-,D,-,-,-,7,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,7
Slovakia,483,112,27,25,17,44,6,9,8,9,5,3,6,9,4,7,3,5,D,5,4,-,-,4,7,4,D,D,D,3,D,-,3,-,10,3,3,-,D,3,D,-,-,-,-,D,3,-,-,D,-,7,112
Slovenia,119,17,7,10,3,6,-,5,D,-,-,5,7,-,D,D,D,D,D,D,-,3,D,-,-,-,D,-,D,D,-,D,-,-,D,D,-,-,-,D,-,D,-,-,-,-,3,-,-,-,-,3,28
Solomon Islands,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Somalia,"6,958",9,22,-,59,57,24,D,125,66,102,362,11,D,106,-,3,77,D,"1,499",16,D,3,126,D,109,12,12,11,714,5,26,120,-,D,-,13,93,79,D,149,20,3,-,-,23,7,-,-,-,-,119,"2,766"
South Africa,"3,023",223,147,155,112,76,147,63,111,71,87,90,35,49,30,12,27,30,33,127,35,9,22,41,15,31,27,35,13,40,9,13,19,D,32,5,21,16,18,14,16,12,5,3,D,11,12,8,D,9,D,63,838
South Sudan,124,-,-,-,5,-,3,-,3,5,-,4,-,D,6,-,-,8,-,4,-,-,-,3,D,D,-,-,-,-,-,-,3,-,-,-,-,D,3,3,3,-,-,D,-,-,-,-,-,-,-,D,64
Soviet Union (former),"1,042",320,92,47,27,48,23,60,6,44,14,26,17,21,9,8,5,7,8,8,6,13,6,4,7,14,6,D,D,D,4,D,D,-,5,D,3,D,3,D,-,4,D,-,D,4,D,-,D,-,-,5,150
Spain,"3,519",503,163,873,85,83,105,119,53,165,51,73,89,38,48,18,20,23,57,15,26,8,18,35,13,26,41,24,13,6,14,10,D,D,9,3,13,8,10,12,14,13,9,-,3,18,9,D,5,11,39,17,506
Sri Lanka,"1,913",401,231,25,138,58,37,59,60,42,29,31,38,29,17,23,22,12,9,27,11,9,30,12,10,29,21,D,16,17,3,3,8,-,8,6,3,5,D,10,6,6,19,6,5,3,8,-,-,-,-,3,363
Sudan,"3,159",190,62,20,355,110,61,46,136,64,47,27,13,78,5,7,27,80,7,18,21,5,7,106,53,6,37,11,25,28,D,20,26,-,D,-,20,43,33,19,15,6,30,6,-,-,25,-,-,6,-,10,"1,245"
Suriname,156,86,D,17,3,D,D,D,-,D,5,-,-,3,-,-,-,-,4,-,-,-,-,D,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,24
Swaziland,20,3,-,-,4,-,-,-,-,3,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,3
Sweden,"1,144",174,111,44,34,37,15,75,28,32,6,31,62,12,25,9,13,11,9,3,20,5,D,15,6,21,10,13,4,D,3,3,3,-,17,10,12,D,D,4,4,D,3,3,-,3,4,-,-,13,-,23,205
Switzerland,743,134,68,59,17,27,8,45,11,39,26,14,14,5,21,3,4,4,8,4,3,4,3,7,4,10,5,3,D,D,D,3,D,-,7,7,D,6,-,D,-,4,D,-,-,-,-,-,-,4,D,14,137
Syria,"4,800",388,725,70,154,288,137,75,102,78,40,36,24,76,124,234,254,85,41,22,31,34,31,16,24,46,13,17,20,34,54,20,15,D,19,3,9,13,14,137,31,15,23,8,9,20,88,20,17,D,D,15,"1,047"
Taiwan,"5,120",518,973,61,170,104,115,416,145,144,53,224,556,57,121,144,31,38,17,20,25,29,19,30,31,90,67,15,14,23,10,16,7,8,9,27,25,12,15,6,11,18,9,D,16,D,6,6,-,-,-,38,626
Tajikistan,593,282,14,3,48,12,D,13,7,10,4,4,D,15,-,D,D,D,8,12,D,3,D,28,D,3,6,-,D,D,-,-,D,D,-,D,4,-,5,-,-,4,-,D,-,-,-,-,-,-,-,4,84
Tanzania,788,49,11,3,72,19,38,9,20,29,26,27,D,10,4,D,7,7,15,23,3,4,D,7,17,-,D,4,5,27,5,4,4,-,D,D,8,12,17,D,11,3,D,-,-,3,4,-,-,-,-,D,267
Thailand,"7,039",273,601,92,218,165,156,183,160,108,174,195,74,62,77,87,41,85,32,355,51,35,105,71,28,104,48,23,55,24,12,73,49,5,9,71,18,52,69,28,31,15,30,5,14,18,14,8,3,7,-,151,"2,675"
Timor-Leste,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,"1,938",358,5,D,264,66,23,4,54,4,99,17,-,45,12,3,5,15,3,83,8,D,4,11,12,3,D,38,8,24,-,24,4,5,3,-,10,13,16,4,28,13,37,-,-,6,D,D,-,D,-,26,571
Tonga,283,-,22,D,-,-,-,56,5,-,-,9,11,-,-,10,-,11,-,-,-,14,3,D,-,22,-,-,-,-,-,-,-,-,-,22,-,37,-,D,-,-,-,-,-,-,-,D,-,-,-,4,52
Trinidad and Tobago,"3,469","1,901",21,281,126,14,108,13,28,57,109,4,D,93,3,4,4,8,79,8,53,D,5,D,75,D,5,12,D,7,9,3,5,D,10,D,9,-,D,7,D,4,14,-,D,6,4,-,-,3,-,17,344
Tunisia,518,71,33,18,30,15,15,23,8,7,9,D,5,20,5,4,22,5,23,7,13,-,D,3,3,6,-,3,4,6,-,4,4,-,D,-,3,D,3,D,D,D,-,D,D,D,D,D,-,D,D,6,121
Turkey,"4,469","1,061",275,138,189,133,173,180,72,188,125,112,113,173,63,23,29,36,45,14,41,28,11,24,30,28,33,28,20,25,12,17,16,4,17,7,39,11,20,25,5,9,14,D,4,8,21,D,D,D,D,15,808
Turkmenistan,235,78,14,12,7,12,10,D,4,D,D,10,5,5,D,7,3,-,3,9,D,D,-,-,-,D,-,4,-,-,3,-,-,-,D,-,-,4,-,D,-,D,-,D,-,-,-,-,-,-,-,D,29
Turks and Caicos Islands,39,D,-,23,-,-,-,-,-,D,D,-,-,D,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,3
Uganda,"1,649",55,71,6,97,46,22,19,45,269,30,41,7,8,20,8,13,30,D,57,9,3,-,47,29,9,D,5,4,39,9,16,14,D,3,D,3,15,9,5,13,8,4,D,-,24,8,D,-,-,-,18,504
Ukraine,"10,422","2,117",390,258,224,"1,231",88,218,87,203,105,598,171,421,88,24,273,62,68,89,59,400,41,94,70,247,56,52,17,41,6,19,12,5,99,5,45,23,25,58,6,21,69,-,13,13,174,4,D,9,D,110,"1,911"
United Arab Emirates,"1,370",155,85,26,90,64,99,38,78,23,23,31,37,33,17,16,53,13,11,13,5,10,D,9,11,8,12,10,D,27,3,6,7,D,6,-,5,8,9,5,3,18,6,4,D,D,9,-,-,-,-,7,269
United Kingdom,"12,673","1,698",931,404,371,308,657,617,324,438,302,269,237,228,156,87,114,140,276,103,167,80,74,118,97,144,115,109,57,48,46,65,57,D,131,22,86,34,35,70,25,71,37,12,17,35,31,8,D,44,3,152,"3,018"
United States,468,65,40,24,31,9,16,6,16,12,11,4,3,7,9,4,8,17,9,4,4,3,3,4,6,D,6,D,5,D,D,D,3,D,D,-,D,D,3,D,-,D,D,-,D,D,-,D,4,3,D,7,99
Uruguay,972,247,23,230,37,12,21,5,11,15,39,D,4,8,4,4,-,4,24,D,20,-,3,D,6,D,D,9,-,D,6,D,4,-,17,-,5,12,-,5,D,D,4,-,-,33,7,-,D,4,6,D,128
Uzbekistan,"4,359","2,575",129,34,65,95,26,54,12,37,30,42,20,212,36,6,17,18,17,22,6,38,12,42,66,12,7,13,3,11,13,6,63,-,D,-,7,7,5,9,4,60,10,D,D,3,21,-,-,10,-,15,465
Vanuatu,D,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Venezuela,"10,772",646,180,"4,783",208,122,844,109,185,119,245,48,25,82,35,28,29,44,679,28,195,14,26,54,31,29,54,57,24,18,18,39,24,10,26,9,37,70,19,61,31,18,12,D,D,22,18,D,17,42,112,34,"1,204"
Vietnam,"41,451",745,"6,668",446,"1,220",676,"2,679","1,418","1,855","1,088","1,388","1,721","3,252",765,887,557,236,481,367,477,373,753,224,524,191,802,321,322,150,72,39,99,130,D,45,232,147,173,195,137,114,104,112,198,68,198,67,32,27,54,D,283,"8,317"
"Virgin Islands, British",40,11,-,D,-,-,-,-,-,D,4,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,11,6
"Virgin Islands, U.S.",D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D
Wallis and Futuna,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Sahara,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yemen,"13,040","4,606",48,9,45,314,20,809,17,6,10,49,5,76,8,13,"3,389",4,6,18,4,26,D,D,24,4,-,38,D,13,D,10,50,-,D,-,30,D,6,-,7,4,41,61,189,-,7,203,-,-,-,192,"2,671"
Zambia,487,34,10,D,32,25,6,D,27,13,39,12,4,5,-,3,4,15,13,12,3,3,-,7,4,4,3,4,D,3,3,9,9,-,D,-,D,9,7,3,D,D,3,-,-,8,4,-,-,-,-,-,136
Zimbabwe,815,53,18,19,63,11,25,9,102,20,28,9,4,27,8,8,8,14,10,5,10,3,D,8,9,10,D,10,D,9,-,16,7,-,-,-,16,3,8,D,10,12,D,-,D,7,D,5,-,-,-,11,210
Unknown,"1,724",283,59,44,28,162,45,45,32,33,18,7,6,58,22,16,77,12,9,27,30,9,-,7,6,5,1,7,13,34,-,6,9,D,4,2,7,4,8,11,4,12,D,6,7,1,27,7,-,4,4,33,467
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
