,Country,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Chicago-Naperville-Elgin, IL-IN-WI","Seattle-Tacoma-Bellevue, WA","Boston-Cambridge-Newton, MA-NH","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Orlando-Kissimmee-Sanford, FL","San Diego-Chula Vista-Carlsbad, CA","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Sacramento-Roseville-Folsom, CA","Las Vegas-Henderson-Paradise, NV","Charlotte-Concord-Gastonia, NC-SC","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","San Antonio-New Braunfels, TX","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Cincinnati, OH-KY-IN","Providence-Warwick, RI-MA","El Paso, TX","Hartford-East Hartford-Middletown, CT","Saint Louis, MO-IL","Kansas City, MO-KS","Jacksonville, FL","Worcester, MA-CT","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","Stockton, CA","Cleveland-Elyria, OH","Trenton-Princeton, NJ","Milwaukee-Waukesha, WI","Oklahoma City, OK","Cape Coral-Fort Myers, FL"
24,Botswana,4.0,,,3.0,,,,,,,,,3.0,4.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
25,Brazil,1886.0,716.0,2771.0,445.0,324.0,362.0,388.0,316.0,230.0,1472.0,195.0,458.0,289.0,1530.0,303.0,112.0,359.0,78.0,287.0,87.0,166.0,105.0,28.0,78.0,193.0,104.0,94.0,43.0,49.0,91.0,52.0,38.0,321.0,156.0,44.0,128.0,16.0,79.0,73.0,46.0,110.0,240.0,20.0,7.0,4.0,30.0,28.0,31.0,17.0,77.0
26,Brunei,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bulgaria,83.0,33.0,56.0,68.0,14.0,12.0,26.0,154.0,17.0,26.0,20.0,24.0,28.0,9.0,7.0,10.0,,,15.0,8.0,7.0,8.0,,38.0,4.0,12.0,6.0,,,,10.0,,3.0,4.0,3.0,,,,16.0,,,,,,3.0,5.0,,5.0,4.0,
28,Burkina Faso,227.0,3.0,,40.0,34.0,10.0,3.0,5.0,13.0,,,7.0,13.0,,,,,,,3.0,4.0,5.0,,,3.0,13.0,,,13.0,,,,,,16.0,,,,,,,3.0,,,,6.0,,3.0,,
29,Burma,64.0,71.0,8.0,27.0,27.0,107.0,69.0,56.0,30.0,13.0,7.0,62.0,12.0,6.0,4.0,39.0,,,3.0,90.0,11.0,17.0,6.0,7.0,32.0,27.0,20.0,8.0,15.0,,228.0,51.0,,19.0,,,,3.0,4.0,33.0,19.0,,5.0,,,,,89.0,16.0,
30,Burundi,,,,11.0,28.0,56.0,,6.0,6.0,5.0,,14.0,,,,51.0,,,3.0,13.0,5.0,8.0,,12.0,,,5.0,8.0,11.0,30.0,9.0,14.0,,23.0,9.0,,,,,6.0,,,13.0,,,5.0,,,,
31,Cabo Verde,10.0,,,4.0,,,,,,609.0,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,,,,,,,,,,,,,,
32,Cambodia,7.0,237.0,7.0,61.0,69.0,42.0,32.0,31.0,114.0,191.0,21.0,69.0,48.0,,20.0,24.0,3.0,41.0,5.0,63.0,14.0,19.0,10.0,12.0,8.0,,18.0,3.0,10.0,3.0,7.0,8.0,5.0,25.0,13.0,23.0,,4.0,3.0,,16.0,4.0,13.0,,15.0,5.0,,,6.0,
33,Cameroon,125.0,55.0,12.0,826.0,226.0,221.0,19.0,71.0,33.0,80.0,15.0,122.0,73.0,12.0,7.0,43.0,40.0,6.0,20.0,151.0,39.0,19.0,,14.0,24.0,165.0,7.0,47.0,101.0,6.0,18.0,8.0,,4.0,46.0,7.0,8.0,4.0,11.0,26.0,18.0,23.0,12.0,6.0,4.0,17.0,4.0,9.0,96.0,
34,Canada,961.0,635.0,376.0,174.0,426.0,227.0,351.0,240.0,409.0,257.0,289.0,199.0,122.0,127.0,162.0,252.0,296.0,102.0,146.0,103.0,97.0,110.0,38.0,99.0,75.0,58.0,102.0,38.0,58.0,50.0,38.0,68.0,47.0,24.0,27.0,26.0,17.0,26.0,40.0,23.0,34.0,29.0,15.0,5.0,22.0,47.0,12.0,20.0,25.0,44.0
35,Cayman Islands,5.0,,9.0,,,,,,,,,,5.0,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
36,Central African Republic,7.0,,,34.0,,8.0,,18.0,13.0,,,3.0,,,3.0,,,,5.0,,,14.0,,,,3.0,,,,,,,,16.0,,,,,,,,,,,,,,,,
37,Chad,20.0,,,6.0,3.0,,,7.0,4.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
38,Chile,211.0,96.0,258.0,65.0,40.0,24.0,44.0,33.0,46.0,32.0,11.0,29.0,23.0,43.0,21.0,18.0,3.0,9.0,22.0,23.0,13.0,19.0,4.0,14.0,10.0,5.0,28.0,6.0,6.0,10.0,7.0,4.0,18.0,39.0,,,,,4.0,,10.0,3.0,,,,3.0,,5.0,3.0,4.0
39,"China, People's Republic",8947.0,6638.0,371.0,1169.0,1219.0,855.0,4222.0,1374.0,3035.0,1913.0,4127.0,637.0,968.0,221.0,679.0,349.0,458.0,1285.0,139.0,287.0,332.0,237.0,327.0,453.0,164.0,292.0,404.0,90.0,167.0,210.0,149.0,94.0,115.0,158.0,173.0,93.0,14.0,87.0,161.0,81.0,65.0,100.0,43.0,5.0,52.0,123.0,157.0,95.0,94.0,15.0
40,Colombia,2840.0,403.0,3671.0,394.0,565.0,267.0,99.0,301.0,96.0,404.0,54.0,358.0,151.0,722.0,86.0,98.0,36.0,80.0,436.0,76.0,85.0,88.0,17.0,84.0,159.0,60.0,49.0,77.0,35.0,60.0,39.0,44.0,178.0,81.0,24.0,82.0,9.0,48.0,19.0,19.0,86.0,34.0,38.0,10.0,5.0,26.0,17.0,25.0,23.0,83.0
41,"Congo, Democratic Republic",17.0,11.0,6.0,60.0,110.0,242.0,3.0,71.0,60.0,26.0,7.0,131.0,16.0,4.0,24.0,170.0,5.0,,23.0,48.0,27.0,102.0,,17.0,80.0,24.0,18.0,20.0,85.0,57.0,46.0,77.0,,83.0,68.0,13.0,,6.0,12.0,104.0,13.0,18.0,153.0,,,38.0,,3.0,7.0,
