NAME,CBSAFP,Total,Year
"Seattle-Tacoma-Bellevue, WA",42660,17555.0,2011
"Worcester, MA",49340,3241.0,2011
"Seattle-Tacoma-Bellevue, WA",42660,17394.0,2012
"San Juan-Caguas-Guaynabo, PR",41980,2789.0,2012
"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,176306.0,2012
"Salt Lake City, UT",41620,3739.0,2012
"Providence-New Bedford-Fall River, RI-MA",39300,4686.0,2012
"Portland-Vancouver-Hillsboro, OR-WA",38900,6254.0,2012
"Bridgeport-Stamford-Norwalk, CT",14860,4516.0,2012
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,17627.0,2012
"Hartford-West Hartford-East Hartford, CT",25540,3940.0,2012
"Buffalo-Niagara Falls, NY",15380,2922.0,2012
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,38035.0,2012
"Cleveland-Elyria-Mentor, OH",17460,3023.0,2012
"Columbus, OH",18140,5043.0,2012
"Atlanta-Sandy Springs-Marietta, GA",12060,21014.0,2012
"Boston-Cambridge-Quincy, MA-NH",14460,24773.0,2012
"Worcester, MA",49340,3128.0,2012
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,4204.0,2012
"Baltimore-Towson, MD",12580,8465.0,2012
"Kansas City, MO-KS",28140,3747.0,2012
"St. Louis, MO-IL",41180,3321.0,2012
"Charlotte-Gastonia-Rock Hill, NC-SC",16740,5322.0,2012
"Raleigh-Cary, NC",39580,3675.0,2012
"Denver-Aurora-Broomfield, CO",19740,8847.0,2012
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,10544.0,2012
"Chicago-Joliet-Naperville, IL-IN-WI",16980,34402.0,2012
"Indianapolis-Carmel, IN",26900,4242.0,2012
"Detroit-Warren-Livonia, MI",19820,11416.0,2012
"McAllen-Edinburg-Mission, TX",32580,3580.0,2012
"Austin-Round Rock-San Marcos, TX",12420,5798.0,2012
"San Antonio-New Braunfels, TX",41700,5617.0,2012
"Dallas-Fort Worth-Arlington, TX",19100,27767.0,2012
"El Paso, TX",21340,5341.0,2012
"Houston-Sugar Land-Baytown, TX",26420,31493.0,2012
"Miami-Fort Lauderdale-Pompano Beach, FL",33100,65671.0,2012
"Honolulu, HI",26180,4932.0,2012
"Jacksonville, FL",27260,3294.0,2012
"Orlando-Kissimmee-Sanford, FL",36740,10074.0,2012
"Tampa-St. Petersburg-Clearwater, FL",45300,8572.0,2012
"Sacramento--Arden-Arcade--Roseville, CA",40900,7877.0,2012
"Tucson, AZ",46060,2820.0,2012
"San Francisco-Oakland-Fremont, CA",41860,29213.0,2012
"Phoenix-Mesa-Glendale, AZ",38060,12676.0,2012
"San Jose-Sunnyvale-Santa Clara, CA",41940,16752.0,2012
"San Diego-Carlsbad-San Marcos, CA",41740,18693.0,2012
"Fresno, CA",23420,2825.0,2012
"Oxnard-Thousand Oaks-Ventura, CA",37100,2728.0,2012
"Stockton, CA",44700,2871.0,2012
"Las Vegas-Paradise, NV",29820,8684.0,2012
"Riverside-San Bernardino-Ontario, CA",40140,14449.0,2012
"Los Angeles-Long Beach-Santa Ana, CA",31100,80910.0,2012
