Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT",NAME_LONG,ISO_A3
Chile,"1,596",211,84,300,45,40,42,36,14,20,33,25,28,17,26,17,7,,9,15,30,13,11,7,10.0,12,15,,22.0,4,,3.0,3,5,44,4,19.0,9.0,5.0,11.0,5.0,,3.0,,3,,,3.0,3,11,7.0,Chile,CHL
"China, People's Republic","74,558","17,301","11,924",997,"1,882","2,102","1,634","7,118","1,093","2,182",988,"2,964","2,252",865,"1,764",949,367,378,439,247,248,573,533,326,484.0,538,237,264.0,214.0,109,22,128.0,445,189,208,191,129.0,236.0,207.0,112.0,101.0,92,249.0,201.0,89,222.0,225.0,85.0,11,46,108.0,"China, People's Republic",CHN
Colombia,"17,316","3,775",469,"4,343",368,272,698,142,211,411,489,73,107,90,207,137,85,18,81,417,734,79,21,67,63.0,33,44,32.0,192.0,58,23,39.0,9,156,45,33,216.0,36.0,44.0,69.0,117.0,10,31.0,22.0,7,18.0,26.0,13.0,9,85,35.0,Colombia,COL
Comoros,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,COM
"Congo, Democratic Republic","5,345",64,53,14,186,80,111,21,580,101,200,16,116,32,36,11,97,13,47,4,30,9,6,148,37.0,38,53,47.0,253.0,37,4,46.0,,20,40,48,41.0,104.0,42.0,7.0,9.0,,27.0,61.0,6,7.0,12.0,62.0,,,29.0,"Congo, Democratic Republic",COD
"Congo, Republic",496,29,6,3,24,36,56,,7,4,13,,9,15,8,,13,5,,,8,,,7,5.0,,,7.0,6.0,,,,,4,3,3,6.0,6.0,4.0,,,,,11.0,,,,,,,,"Congo, Republic",COG
Costa Rica,"2,029",491,80,222,60,37,46,22,30,22,40,21,16,15,58,22,38,5,15,41,36,15,16,7,5.0,20,16,,60.0,5,,7.0,8,4,5,11,24.0,9.0,4.0,5.0,13.0,,,3.0,4,,5.0,3.0,,10,3.0,Costa Rica,CRI
Croatia,348,63,23,24,8,23,11,10,4,8,6,11,9,7,3,3,8,3,,7,6,5,,,,6,,,,,,5.0,,,,,,,3.0,,,,4.0,4.0,,6.0,4.0,,,,,Croatia,HRV
Cuba,"54,396","1,123",242,"34,777",55,104,"2,103",58,313,53,240,14,17,50,35,53,370,11,18,"3,746","1,109","1,292",7,30,23.0,142,370,22.0,146.0,131,18,139.0,,5,26,20,21.0,53.0,110.0,10.0,370.0,,23.0,12.0,,6.0,14.0,783.0,38,109,7.0,Cuba,CUB
Curacao,22,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,Curacao,CUW
