Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC",NAME,ISO_A3
Afghanistan,2017,195.0,138.0,3.0,287.0,31.0,280.0,42.0,39.0,11.0,56.0,55.0,21.0,38.0,25.0,41.0,,55.0,6.0,7.0,15.0,4.0,20.0,11.0,52.0,18.0,4.0,,,12.0,,,,10.0,6.0,10.0,11.0,,19.0,8.0,3.0,30.0,20.0,,,5.0,36.0,4.0,24.0,,5.0,Afghanistan,AFG
Albania,4711,1331.0,21.0,48.0,66.0,298.0,12.0,25.0,27.0,403.0,,15.0,7.0,333.0,20.0,6.0,595.0,37.0,18.0,12.0,22.0,143.0,4.0,18.0,,8.0,3.0,,3.0,7.0,,38.0,30.0,4.0,7.0,4.0,6.0,,6.0,87.0,,38.0,122.0,151.0,83.0,6.0,,,,4.0,5.0,Albania,ALB
Algeria,1305,283.0,55.0,23.0,68.0,78.0,126.0,20.0,10.0,92.0,18.0,16.0,13.0,114.0,12.0,5.0,11.0,5.0,14.0,4.0,,5.0,17.0,4.0,,4.0,15.0,,,18.0,,,25.0,17.0,,16.0,,,,8.0,11.0,4.0,3.0,,5.0,,,,,,,Algeria,DZA
American Samoa,14,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Samoa,ASM
Andorra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andorra,AND
Angola,148,20.0,4.0,4.0,8.0,,,8.0,,29.0,4.0,,,3.0,,,,3.0,,,,,,,,,,,13.0,,,,,,5.0,,,,,,,,,,,,,,,,,Angola,AGO
Anguilla,19,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anguilla,AIA
Antigua and Barbuda,359,160.0,3.0,32.0,5.0,,,6.0,,3.0,8.0,,,11.0,,,3.0,,6.0,,,6.0,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,4.0,Antigua and Barbuda,ATG
Argentina,4399,557.0,387.0,1325.0,192.0,86.0,75.0,123.0,95.0,55.0,61.0,35.0,26.0,36.0,36.0,65.0,19.0,26.0,92.0,10.0,51.0,40.0,17.0,13.0,13.0,25.0,20.0,4.0,6.0,11.0,,41.0,13.0,8.0,6.0,10.0,8.0,42.0,37.0,9.0,7.0,18.0,8.0,,14.0,17.0,,4.0,3.0,6.0,,Argentina,ARG
Armenia,2979,263.0,2020.0,13.0,41.0,9.0,34.0,3.0,8.0,74.0,12.0,7.0,15.0,11.0,15.0,7.0,10.0,7.0,7.0,,61.0,,26.0,6.0,45.0,4.0,,,3.0,,,10.0,6.0,,10.0,,,,5.0,,,4.0,4.0,,8.0,6.0,,51.0,,12.0,7.0,Armenia,ARM
Aruba,49,8.0,,7.0,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW
Australia,2512,343.0,267.0,44.0,45.0,49.0,103.0,42.0,49.0,50.0,41.0,57.0,58.0,29.0,80.0,24.0,18.0,33.0,11.0,34.0,33.0,27.0,39.0,19.0,10.0,27.0,14.0,16.0,4.0,9.0,,14.0,11.0,12.0,10.0,14.0,33.0,,25.0,8.0,14.0,12.0,10.0,7.0,17.0,13.0,6.0,,7.0,7.0,20.0,Australia,AUS
Austria,442,89.0,44.0,16.0,13.0,18.0,22.0,9.0,4.0,9.0,,7.0,5.0,5.0,14.0,5.0,4.0,6.0,,3.0,,3.0,4.0,,,6.0,4.0,5.0,,,,,,,4.0,,,,3.0,,,,,,3.0,,,,,,4.0,Austria,AUT
Azerbaijan,781,186.0,127.0,5.0,44.0,16.0,26.0,56.0,7.0,19.0,8.0,16.0,13.0,18.0,37.0,,7.0,,4.0,4.0,5.0,,4.0,9.0,7.0,10.0,3.0,,,,,,,4.0,12.0,,,,,,,,3.0,,6.0,,,,,3.0,3.0,Azerbaijan,AZE
Bahamas,652,35.0,6.0,322.0,6.0,6.0,,16.0,4.0,,39.0,,,10.0,,,,3.0,29.0,,,13.0,,4.0,,,,,,,,,5.0,,4.0,,4.0,,,,,,4.0,,,,,,,,5.0,Bahamas,BHS
Bahrain,104,13.0,4.0,3.0,4.0,3.0,,5.0,6.0,,,,4.0,4.0,,,6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahrain,BHR
Bangladesh,14819,8108.0,494.0,320.0,767.0,129.0,58.0,213.0,312.0,198.0,379.0,19.0,76.0,545.0,41.0,103.0,771.0,71.0,100.0,41.0,23.0,58.0,15.0,55.0,38.0,27.0,74.0,5.0,24.0,15.0,,119.0,67.0,22.0,6.0,47.0,8.0,,5.0,73.0,30.0,19.0,24.0,10.0,14.0,20.0,,,,6.0,11.0,Bangladesh,BGD
Barbados,465,245.0,4.0,34.0,14.0,6.0,3.0,4.0,,27.0,9.0,,,10.0,,,,,9.0,,,4.0,,7.0,,,,,3.0,,,4.0,,,4.0,,,,,4.0,,,,,,,,,,,,Barbados,BRB
Belarus,2038,549.0,61.0,43.0,43.0,118.0,57.0,18.0,17.0,66.0,36.0,9.0,30.0,134.0,51.0,7.0,15.0,3.0,10.0,88.0,14.0,11.0,36.0,20.0,56.0,24.0,4.0,5.0,5.0,,,16.0,9.0,,12.0,5.0,6.0,,,6.0,14.0,10.0,20.0,4.0,13.0,,,,,9.0,12.0,Belarus,BLR
Belgium,592,115.0,32.0,16.0,27.0,22.0,17.0,15.0,13.0,9.0,19.0,4.0,10.0,9.0,10.0,4.0,10.0,14.0,5.0,6.0,5.0,3.0,3.0,4.0,5.0,6.0,5.0,,4.0,,,5.0,,,8.0,5.0,,,,3.0,,,6.0,,,,,,,6.0,,Belgium,BEL
Belize,965,134.0,309.0,23.0,15.0,92.0,7.0,42.0,18.0,4.0,17.0,8.0,,8.0,,17.0,4.0,8.0,6.0,,19.0,10.0,,4.0,4.0,3.0,6.0,,,11.0,,,,,,,,,3.0,,,,6.0,,,,,,,,6.0,Belize,BLZ
Benin,486,46.0,7.0,3.0,79.0,39.0,,7.0,13.0,3.0,20.0,,,26.0,5.0,,,5.0,,4.0,8.0,5.0,18.0,12.0,3.0,,,,,,,,4.0,,3.0,10.0,,,,3.0,24.0,,,3.0,,,,,,,10.0,Benin,BEN
Bermuda,72,7.0,3.0,4.0,5.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,Bermuda,BMU
Bhutan,6109,80.0,11.0,,77.0,191.0,126.0,146.0,292.0,47.0,625.0,25.0,26.0,,296.0,5.0,,208.0,,77.0,33.0,,304.0,103.0,42.0,72.0,10.0,,5.0,73.0,,,9.0,63.0,11.0,47.0,56.0,,162.0,,,92.0,113.0,86.0,85.0,,,,138.0,86.0,18.0,Bhutan,BTN
Bolivia,2253,237.0,120.0,190.0,900.0,23.0,25.0,82.0,30.0,40.0,13.0,15.0,9.0,13.0,8.0,19.0,,5.0,10.0,11.0,10.0,28.0,19.0,15.0,4.0,,5.0,,56.0,,5.0,5.0,,4.0,3.0,3.0,,,9.0,10.0,,9.0,15.0,,,3.0,,,5.0,,5.0,Bolivia,BOL
Bosnia and Herzegovina,946,53.0,24.0,9.0,18.0,70.0,12.0,13.0,15.0,25.0,42.0,11.0,22.0,13.0,17.0,4.0,34.0,26.0,8.0,10.0,12.0,24.0,12.0,,4.0,10.0,,,,,,,3.0,3.0,4.0,,,,16.0,8.0,3.0,75.0,19.0,,11.0,,,,,5.0,,Bosnia and Herzegovina,BIH
Botswana,66,6.0,,,6.0,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,Botswana,BWA
Brazil,12258,1842.0,502.0,1863.0,278.0,206.0,385.0,214.0,206.0,1334.0,403.0,203.0,94.0,119.0,137.0,44.0,51.0,75.0,417.0,47.0,73.0,144.0,57.0,59.0,34.0,26.0,56.0,40.0,153.0,29.0,6.0,239.0,21.0,39.0,33.0,42.0,29.0,8.0,100.0,56.0,29.0,57.0,38.0,203.0,12.0,12.0,4.0,12.0,13.0,38.0,19.0,Brazil,BRA
"Virgin Islands, British",46,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virgin Islands, British",VGB
Brunei,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunei,BRN
Bulgaria,2570,274.0,147.0,92.0,104.0,431.0,58.0,34.0,47.0,89.0,67.0,22.0,24.0,41.0,69.0,11.0,29.0,37.0,20.0,17.0,85.0,34.0,24.0,22.0,11.0,27.0,10.0,10.0,12.0,11.0,,14.0,10.0,10.0,9.0,11.0,6.0,,8.0,3.0,9.0,28.0,5.0,,4.0,,,3.0,,15.0,10.0,Bulgaria,BGR
Burkina Faso,377,159.0,3.0,,33.0,13.0,,18.0,3.0,3.0,8.0,,,10.0,9.0,,,,,6.0,,,5.0,4.0,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,7.0,,Burkina Faso,BFA
Burma,12925,373.0,366.0,65.0,226.0,290.0,440.0,236.0,792.0,73.0,512.0,141.0,69.0,103.0,187.0,13.0,,322.0,39.0,481.0,14.0,29.0,266.0,235.0,14.0,100.0,102.0,7.0,,34.0,11.0,,27.0,187.0,100.0,102.0,191.0,,139.0,89.0,584.0,38.0,130.0,37.0,26.0,3.0,8.0,3.0,19.0,21.0,13.0,Burma,MMR
Burundi,841,18.0,,,30.0,20.0,,28.0,50.0,25.0,23.0,7.0,,3.0,10.0,,,18.0,,,,,9.0,,,17.0,8.0,,11.0,16.0,,,,7.0,,10.0,5.0,,20.0,,,4.0,3.0,,18.0,,,,10.0,8.0,,Burundi,BDI
Cambodia,2986,48.0,508.0,4.0,99.0,40.0,95.0,99.0,83.0,312.0,50.0,52.0,54.0,133.0,201.0,68.0,6.0,26.0,12.0,124.0,11.0,24.0,22.0,,18.0,26.0,4.0,3.0,77.0,3.0,,16.0,15.0,10.0,20.0,,8.0,,25.0,10.0,,,30.0,13.0,11.0,7.0,53.0,15.0,7.0,16.0,5.0,Cambodia,KHM
Cameroon,4161,231.0,95.0,13.0,1378.0,107.0,37.0,186.0,172.0,142.0,205.0,11.0,34.0,82.0,24.0,10.0,47.0,20.0,24.0,155.0,15.0,11.0,32.0,211.0,10.0,5.0,27.0,3.0,8.0,8.0,,,54.0,32.0,33.0,14.0,9.0,,11.0,3.0,12.0,9.0,,33.0,5.0,,,,5.0,40.0,16.0,Cameroon,CMR
Canada,13328,1125.0,787.0,429.0,254.0,348.0,411.0,387.0,272.0,391.0,278.0,219.0,271.0,189.0,461.0,127.0,392.0,328.0,113.0,164.0,138.0,174.0,145.0,96.0,89.0,124.0,97.0,56.0,38.0,39.0,7.0,76.0,85.0,76.0,90.0,86.0,87.0,3.0,65.0,60.0,61.0,53.0,46.0,48.0,86.0,43.0,20.0,15.0,23.0,81.0,49.0,Canada,CAN
Cabo Verde,1668,29.0,,,4.0,,,,,1070.0,,,,,,,,,14.0,,,,,,,,,,468.0,,,14.0,,,,,,,,,,,,8.0,,,,,,,,Cabo Verde,CIV
Cayman Islands,52,8.0,,14.0,,,,,,,,,,3.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,101,12.0,,,13.0,,,3.0,4.0,,,,,,,,,5.0,,,,,,4.0,,,,,,,,,4.0,12.0,,,,,5.0,,,,,,,,,,,3.0,,Central African Republic,CAF
Chad,120,27.0,,,15.0,,,,3.0,,,,,9.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,Chad,TCD
Chile,1950,317.0,111.0,374.0,85.0,24.0,45.0,38.0,30.0,47.0,43.0,13.0,12.0,21.0,26.0,22.0,4.0,15.0,26.0,14.0,16.0,15.0,20.0,17.0,14.0,24.0,13.0,,,11.0,,10.0,,7.0,12.0,9.0,,15.0,57.0,3.0,4.0,8.0,9.0,,4.0,3.0,5.0,6.0,7.0,5.0,3.0,Chile,CHL
"China, People's Republic",70863,19811.0,7087.0,537.0,1948.0,1904.0,6782.0,1566.0,935.0,2354.0,853.0,651.0,2290.0,1600.0,1429.0,547.0,498.0,393.0,266.0,522.0,492.0,247.0,328.0,595.0,546.0,622.0,297.0,554.0,188.0,155.0,21.0,178.0,281.0,229.0,175.0,230.0,178.0,52.0,149.0,149.0,289.0,342.0,120.0,178.0,296.0,163.0,132.0,45.0,108.0,211.0,133.0,"China, People's Republic",CHN
Colombia,22406,5295.0,576.0,5815.0,480.0,354.0,150.0,756.0,307.0,502.0,623.0,86.0,67.0,231.0,111.0,136.0,23.0,105.0,1076.0,61.0,94.0,571.0,59.0,81.0,31.0,32.0,80.0,,259.0,87.0,20.0,252.0,33.0,38.0,146.0,62.0,33.0,137.0,78.0,82.0,37.0,27.0,139.0,40.0,28.0,23.0,9.0,,18.0,21.0,49.0,Colombia,COL
Comoros,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,COM
"Congo, Democratic Republic",1764,38.0,21.0,5.0,99.0,28.0,10.0,47.0,169.0,50.0,99.0,10.0,4.0,12.0,27.0,4.0,,37.0,,10.0,4.0,,36.0,9.0,3.0,6.0,9.0,,6.0,,,11.0,10.0,8.0,113.0,50.0,5.0,,19.0,6.0,4.0,28.0,,5.0,15.0,,,,22.0,10.0,11.0,"Congo, Democratic Republic",COD
"Congo, Republic",968,50.0,17.0,5.0,65.0,33.0,3.0,18.0,64.0,19.0,44.0,4.0,,11.0,19.0,4.0,,28.0,,9.0,,,10.0,5.0,3.0,7.0,10.0,,3.0,,,10.0,11.0,8.0,36.0,40.0,9.0,,12.0,,4.0,11.0,,11.0,,,,,11.0,3.0,4.0,"Congo, Republic",COG
Costa Rica,2164,490.0,89.0,233.0,64.0,19.0,20.0,46.0,40.0,21.0,55.0,18.0,10.0,42.0,15.0,27.0,5.0,20.0,49.0,5.0,19.0,41.0,15.0,14.0,12.0,9.0,8.0,,3.0,6.0,,28.0,8.0,7.0,35.0,7.0,13.0,22.0,7.0,,8.0,,10.0,,4.0,4.0,,,,5.0,,Costa Rica,CRI
Croatia,357,76.0,25.0,7.0,14.0,30.0,10.0,4.0,4.0,10.0,13.0,5.0,7.0,3.0,4.0,6.0,3.0,5.0,3.0,,7.0,5.0,,5.0,5.0,3.0,,,,,,4.0,,3.0,,,,,3.0,,,12.0,6.0,,6.0,,,,,,3.0,Croatia,HRV
Cuba,33573,832.0,264.0,22881.0,49.0,93.0,60.0,524.0,116.0,25.0,150.0,31.0,11.0,46.0,17.0,47.0,6.0,246.0,612.0,3.0,609.0,1968.0,12.0,21.0,12.0,110.0,196.0,,6.0,41.0,20.0,15.0,8.0,99.0,85.0,32.0,78.0,87.0,32.0,9.0,13.0,20.0,252.0,4.0,4.0,3.0,,,30.0,3.0,44.0,Cuba,CUB
Cyprus,122,30.0,7.0,4.0,7.0,,,,,8.0,5.0,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,CYP
Czechia,190,19.0,7.0,3.0,17.0,13.0,4.0,,,,3.0,4.0,3.0,6.0,7.0,3.0,,6.0,,,3.0,5.0,,3.0,,6.0,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,Czechia,CZE
Denmark,518,82.0,49.0,15.0,14.0,11.0,25.0,24.0,6.0,7.0,21.0,7.0,6.0,6.0,28.0,4.0,3.0,,3.0,,4.0,,3.0,5.0,,10.0,5.0,,,,,15.0,,,4.0,7.0,5.0,,,,7.0,,,6.0,,,,,,3.0,6.0,Denmark,DNK
Djibouti,37,,,,,3.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,Djibouti,DJI
Dominica,366,136.0,4.0,20.0,8.0,9.0,,14.0,,13.0,11.0,,,3.0,,,,,,,,8.0,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,Dominica,DMA
Dominican Republic,53870,33706.0,69.0,2420.0,673.0,166.0,33.0,103.0,78.0,3689.0,216.0,22.0,6.0,1017.0,22.0,19.0,43.0,40.0,700.0,34.0,46.0,340.0,14.0,92.0,4.0,9.0,6.0,,1246.0,27.0,13.0,330.0,65.0,26.0,96.0,106.0,15.0,2984.0,16.0,136.0,39.0,11.0,56.0,264.0,39.0,,,,9.0,33.0,35.0,Dominican Republic,DOM
Ecuador,11492,6577.0,279.0,1006.0,251.0,396.0,34.0,123.0,76.0,86.0,90.0,15.0,10.0,106.0,27.0,54.0,10.0,25.0,162.0,91.0,33.0,99.0,14.0,34.0,,14.0,7.0,4.0,16.0,13.0,6.0,255.0,9.0,14.0,153.0,13.0,19.0,17.0,32.0,40.0,8.0,16.0,30.0,45.0,10.0,3.0,6.0,,7.0,5.0,5.0,Ecuador,ECU
Egypt,8978,3190.0,710.0,76.0,429.0,184.0,114.0,133.0,189.0,158.0,74.0,41.0,47.0,244.0,76.0,194.0,88.0,58.0,85.0,120.0,19.0,127.0,18.0,68.0,27.0,77.0,10.0,,63.0,17.0,,15.0,46.0,23.0,26.0,37.0,540.0,4.0,10.0,23.0,30.0,16.0,15.0,54.0,81.0,14.0,8.0,11.0,,12.0,16.0,Egypt,EGY
El Salvador,18806,2752.0,4148.0,380.0,3015.0,156.0,771.0,1610.0,665.0,497.0,199.0,56.0,127.0,62.0,101.0,420.0,11.0,73.0,44.0,65.0,255.0,53.0,89.0,165.0,72.0,35.0,68.0,,53.0,46.0,,39.0,8.0,39.0,115.0,48.0,46.0,13.0,45.0,18.0,33.0,,11.0,53.0,12.0,38.0,19.0,100.0,6.0,3.0,21.0,El Salvador,SLV
Equatorial Guinea,12,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,GNQ
Eritrea,1656,34.0,63.0,5.0,276.0,34.0,127.0,48.0,69.0,35.0,96.0,18.0,44.0,26.0,122.0,5.0,5.0,35.0,3.0,42.0,59.0,,43.0,11.0,10.0,12.0,3.0,,4.0,10.0,,4.0,46.0,11.0,46.0,15.0,6.0,,10.0,,10.0,21.0,,,,,3.0,,,15.0,3.0,Eritrea,ERI
Estonia,260,40.0,19.0,16.0,6.0,9.0,7.0,,,,4.0,,4.0,6.0,11.0,,,3.0,8.0,,,5.0,3.0,,,3.0,3.0,,,,,,,,,3.0,,,,,,,5.0,,,3.0,,,,7.0,,Estonia,EST
Ethiopia,14266,278.0,402.0,15.0,3228.0,272.0,294.0,265.0,589.0,315.0,793.0,170.0,273.0,163.0,892.0,59.0,39.0,154.0,36.0,964.0,446.0,36.0,523.0,158.0,86.0,176.0,67.0,9.0,12.0,13.0,,,215.0,160.0,117.0,72.0,165.0,,36.0,20.0,57.0,84.0,55.0,10.0,13.0,,9.0,17.0,20.0,90.0,32.0,Ethiopia,ETH
Fiji,1201,8.0,52.0,,,3.0,303.0,5.0,,5.0,4.0,11.0,31.0,,106.0,36.0,,7.0,,7.0,6.0,3.0,,,288.0,70.0,,11.0,,,,,,,,,,,5.0,,,,,,,,21.0,3.0,,,,Fiji,FJI
Finland,397,33.0,19.0,19.0,9.0,5.0,24.0,14.0,16.0,7.0,10.0,30.0,19.0,3.0,24.0,5.0,,,7.0,5.0,,6.0,5.0,5.0,,,,,,,,7.0,,,3.0,,,,,,,,,,,,,,,,3.0,Finland,FIN
French Polynesia,16,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French Polynesia,PYF
Gabon,138,18.0,,,15.0,,,5.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,Gabon,GAB
Gambia,859,224.0,8.0,7.0,53.0,3.0,8.0,,22.0,5.0,101.0,,,9.0,83.0,,22.0,,,27.0,,,5.0,9.0,,8.0,,,21.0,,,,12.0,,7.0,30.0,5.0,,,4.0,,,,,,,,,,4.0,,Gambia,GMB
Georgia,1518,862.0,93.0,28.0,41.0,29.0,29.0,7.0,7.0,16.0,23.0,4.0,10.0,69.0,13.0,,5.0,,12.0,6.0,6.0,5.0,,13.0,7.0,15.0,,,,,,11.0,5.0,,3.0,,3.0,,,4.0,,3.0,,3.0,7.0,,,,,11.0,5.0,Georgia,GEO
Germany,6888,782.0,383.0,210.0,226.0,233.0,267.0,118.0,105.0,143.0,148.0,112.0,128.0,124.0,165.0,58.0,153.0,78.0,68.0,63.0,50.0,54.0,63.0,47.0,46.0,46.0,54.0,28.0,17.0,37.0,39.0,30.0,19.0,31.0,45.0,26.0,23.0,8.0,15.0,25.0,20.0,39.0,24.0,8.0,26.0,21.0,5.0,17.0,33.0,40.0,51.0,Germany,DEU
Ghana,7429,2136.0,77.0,15.0,997.0,262.0,36.0,82.0,197.0,92.0,348.0,13.0,11.0,234.0,56.0,52.0,48.0,43.0,18.0,147.0,21.0,31.0,164.0,178.0,11.0,19.0,23.0,,27.0,5.0,,14.0,310.0,17.0,53.0,18.0,42.0,,14.0,93.0,11.0,14.0,14.0,263.0,19.0,4.0,5.0,3.0,7.0,83.0,41.0,Ghana,GHA
Greece,745,205.0,34.0,15.0,25.0,44.0,11.0,11.0,4.0,57.0,10.0,8.0,9.0,32.0,5.0,,13.0,10.0,7.0,6.0,5.0,23.0,3.0,7.0,4.0,,5.0,,5.0,,,10.0,,,6.0,,,,,6.0,,,,14.0,6.0,,,,,,3.0,Greece,GRC
Grenada,664,465.0,6.0,13.0,34.0,,,18.0,3.0,12.0,14.0,,,8.0,,,,,6.0,,,,6.0,7.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,Grenada,GRD
Guatemala,10467,898.0,2478.0,427.0,595.0,303.0,445.0,278.0,168.0,294.0,144.0,148.0,50.0,52.0,73.0,297.0,21.0,127.0,46.0,28.0,117.0,48.0,38.0,56.0,39.0,92.0,35.0,,337.0,43.0,3.0,138.0,6.0,34.0,22.0,12.0,32.0,12.0,48.0,12.0,20.0,9.0,19.0,23.0,15.0,54.0,19.0,13.0,9.0,22.0,,Guatemala,GTM
Guinea,1379,645.0,3.0,6.0,101.0,15.0,8.0,10.0,15.0,38.0,95.0,3.0,,69.0,12.0,,7.0,10.0,,29.0,3.0,,7.0,21.0,,3.0,11.0,,10.0,,,,50.0,4.0,6.0,5.0,,,,,22.0,,5.0,,,,,,,5.0,5.0,Guinea,GIN
Guinea-Bissau,30,3.0,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,6749,4973.0,10.0,216.0,185.0,11.0,6.0,23.0,7.0,33.0,142.0,11.0,12.0,61.0,,3.0,,7.0,183.0,83.0,4.0,26.0,,32.0,,,,,6.0,,,17.0,,4.0,3.0,5.0,6.0,,,46.0,5.0,,12.0,,18.0,,3.0,,4.0,,8.0,Guyana,GUY
Haiti,22582,5652.0,34.0,8361.0,228.0,116.0,32.0,28.0,14.0,1762.0,345.0,,,427.0,18.0,3.0,11.0,13.0,1349.0,8.0,13.0,271.0,17.0,35.0,,10.0,14.0,,98.0,5.0,,369.0,37.0,36.0,16.0,9.0,11.0,5.0,4.0,38.0,18.0,24.0,169.0,41.0,,,,,,5.0,32.0,Haiti,HTI
Honduras,6448,1055.0,530.0,870.0,437.0,129.0,83.0,413.0,162.0,127.0,86.0,36.0,44.0,37.0,43.0,72.0,7.0,45.0,61.0,18.0,46.0,85.0,24.0,29.0,12.0,28.0,67.0,,13.0,42.0,6.0,33.0,6.0,47.0,58.0,43.0,36.0,10.0,22.0,13.0,29.0,7.0,19.0,10.0,11.0,22.0,7.0,11.0,8.0,11.0,13.0,Honduras,HND
Hong Kong,2432,497.0,420.0,15.0,42.0,51.0,455.0,38.0,34.0,81.0,18.0,42.0,110.0,16.0,71.0,13.0,8.0,13.0,7.0,25.0,23.0,3.0,8.0,23.0,40.0,20.0,13.0,39.0,7.0,3.0,,7.0,5.0,5.0,7.0,,,,5.0,5.0,3.0,5.0,,4.0,4.0,5.0,4.0,,,,,Hong Kong,HKG
Hungary,1022,212.0,74.0,66.0,27.0,17.0,26.0,16.0,20.0,13.0,14.0,24.0,10.0,10.0,17.0,9.0,4.0,11.0,18.0,9.0,17.0,40.0,6.0,9.0,6.0,6.0,11.0,,3.0,3.0,,9.0,,3.0,,10.0,9.0,,,3.0,,3.0,24.0,,9.0,6.0,,,3.0,,,Hungary,HUN
Iceland,105,17.0,7.0,5.0,,,,,,4.0,6.0,,5.0,,3.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Iceland,ISL
India,69162,11388.0,2479.0,541.0,2918.0,4534.0,3607.0,2175.0,2403.0,1603.0,1850.0,671.0,3942.0,2290.0,1700.0,513.0,1261.0,722.0,323.0,630.0,165.0,423.0,274.0,803.0,958.0,402.0,501.0,15.0,137.0,185.0,10.0,273.0,427.0,331.0,479.0,499.0,196.0,10.0,126.0,462.0,329.0,376.0,194.0,355.0,338.0,225.0,476.0,653.0,62.0,301.0,146.0,India,IND
Indonesia,3032,258.0,595.0,23.0,127.0,54.0,150.0,106.0,69.0,66.0,63.0,34.0,72.0,117.0,112.0,250.0,14.0,26.0,12.0,18.0,25.0,8.0,63.0,28.0,25.0,19.0,23.0,17.0,6.0,8.0,,5.0,14.0,9.0,5.0,8.0,6.0,,7.0,8.0,5.0,3.0,8.0,,5.0,14.0,10.0,10.0,10.0,4.0,8.0,Indonesia,IDN
Iran,14182,457.0,5360.0,138.0,929.0,271.0,502.0,431.0,399.0,183.0,321.0,393.0,704.0,80.0,262.0,118.0,71.0,174.0,78.0,57.0,92.0,55.0,95.0,140.0,233.0,98.0,72.0,17.0,15.0,73.0,,18.0,36.0,66.0,45.0,37.0,95.0,,53.0,35.0,15.0,32.0,32.0,25.0,23.0,93.0,15.0,38.0,30.0,25.0,30.0,Iran,IRN
