Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Austin-Round Rock-Georgetown, TX","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-Warwick, RI-MA","Cincinnati, OH-KY-IN","Indianapolis-Carmel-Anderson, IN","Kansas City, MO-KS","Raleigh-Cary, NC","Salt Lake City, UT","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Jacksonville, FL","Hartford-East Hartford-Middletown, CT","Milwaukee-Waukesha, WI","Fresno, CA","Louisville/Jefferson County, KY-IN","Saint Louis, MO-IL","Stockton, CA","Cape Coral-Fort Myers, FL","McAllen-Edinburg-Mission, TX","Cleveland-Elyria, OH","Worcester, MA-CT",NAME_LONG,ISO_A3
Senegal,"1,665",484,16,6,22,33,93,26,15,27,82,24,,39,8,5,4,9,38,6,3,7,7,20,,33.0,4,14.0,3,113.0,7.0,49,91.0,11.0,6.0,15.0,,,3.0,,,,6.0,,31.0,11.0,,,,6.0,6.0,Senegal,SEN
Serbia,"1,532",237,71,119,12,309,71,25,34,28,10,26,22,15,36,4,8,47,20,5,5,22,26,12,5,6.0,,9.0,,5.0,,,,,3.0,5.0,3,,5.0,,11.0,,9.0,,,12.0,,3,,10.0,,Serbia,SRB
Seychelles,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,SYC
Sierra Leone,"1,443",185,23,5,32,9,395,38,9,36,62,28,10,135,,4,,23,4,46,11,,5,5,5,37.0,3,12.0,6,86.0,5.0,7,,4.0,,8.0,,,,,,5.0,,,,,4.0,,,,,Sierra Leone,SLE
Singapore,818,137,61,5,31,27,15,13,90,25,16,47,59,10,11,7,5,13,8,7,6,,5,8,9,6.0,11,,,,,5,11.0,,,,3,,7.0,3,,4.0,,,,3.0,,,,,,Singapore,SGP
Sint Maarten,37,4,,3,,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sint Maarten,SXM
Slovakia,422,85,22,27,5,36,13,4,7,8,3,11,8,9,5,,,,,3,,8,6,3,3,,,6.0,,,,,,,,,,,8.0,6,,,8.0,,,,,,,3.0,,Slovakia,SVK
Slovenia,119,22,4,8,,6,,,20,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Slovenia,SVN
Somalia,"3,752",,,,11,24,18,80,,32,30,191,6,,49,,,53,,742,,,,43,5,,57,5.0,8,336.0,42.0,6,23.0,35.0,87.0,9.0,46,,,,,3.0,64.0,,122.0,42.0,,,,28.0,6.0,Somalia,SOM
South Africa,"3,174",255,148,149,121,103,113,86,89,49,128,124,27,56,54,9,37,37,20,70,17,33,17,56,50,20.0,21,50.0,13,20.0,18.0,8,11.0,12.0,57.0,33.0,26,,45.0,9,10.0,15.0,3.0,8,9.0,18.0,6.0,10,,12.0,6.0,South Africa,ZAF
South Sudan,191,,,,5,5,7,12,,,,3,,,,,,10,,3,,,,,6,,3,,,,7.0,,,,,,7,,,,,,,,3.0,,,,,,,South Sudan,SSD
Spain,"3,115",459,186,596,112,89,88,70,138,97,51,66,73,50,46,22,37,24,35,24,7,29,24,39,31,12.0,21,13.0,13,5.0,4.0,11,9.0,6.0,4.0,14.0,12,3,19.0,4,21.0,6.0,8.0,,8.0,4.0,,21,4,7.0,3.0,Spain,ESP
Sri Lanka,"1,689",328,190,7,49,45,113,65,36,33,21,36,37,30,9,21,11,14,37,17,4,17,16,22,18,17.0,24,3.0,3,16.0,,7,13.0,4.0,,13.0,9,,10.0,,,10.0,6.0,,8.0,9.0,5.0,,,,5.0,Sri Lanka,LKA
Sudan,"2,949",132,58,18,61,83,254,150,48,33,25,52,6,78,5,7,8,67,20,43,17,25,11,74,30,39.0,8,23.0,8,44.0,21.0,6,,44.0,59.0,17.0,31,,,,20.0,21.0,9.0,,25.0,24.0,,4,,6.0,5.0,Sudan,SDN
