Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",Non-CBSA,Other & Unknown
Austria,401,47,23,24,17,8,17,37,D,21,8,11,4,16,8,D,4,D,3,3,13,4,3,D,D,4,4,D,D,-,-,-,D,D,D,3,D,4,-,D,D,4,-,-,-,5,3,-,-,D,-,D,81
Azerbaijan,"1,015",205,16,143,66,96,36,37,6,57,20,37,39,6,13,8,D,-,10,D,7,9,5,12,3,3,6,D,D,4,-,10,-,D,3,8,5,D,-,-,D,D,-,7,-,-,-,D,D,-,-,D,122
Bahamas,759,27,251,6,12,14,6,D,6,8,48,D,-,D,D,D,25,5,74,D,4,4,D,D,7,-,D,4,D,8,-,D,D,6,7,D,-,8,-,D,D,-,-,4,D,D,4,-,-,-,D,3,193
Bahrain,143,18,D,10,6,4,8,5,6,D,3,8,6,D,-,D,7,D,D,D,5,D,3,-,-,-,D,D,D,3,-,-,D,-,4,D,-,D,-,-,D,-,-,-,-,-,-,D,D,-,-,D,23
Bangladesh,"15,717","8,186",383,545,720,154,118,91,357,256,491,106,63,36,556,68,60,57,84,105,"1,046",13,45,18,27,41,108,52,10,25,6,15,41,5,53,26,128,13,7,10,8,9,5,20,104,5,19,20,12,D,D,24,"1,361"
Barbados,318,145,18,D,10,10,D,D,D,15,12,D,-,D,7,-,D,D,10,-,D,-,-,D,-,-,5,D,-,D,-,D,3,-,-,-,-,6,-,-,-,-,-,D,6,-,-,-,-,-,-,D,50
Belarus,"1,951",357,56,88,55,6,109,86,13,53,31,79,89,22,126,4,27,68,16,3,18,52,14,50,8,29,8,10,8,33,D,7,D,4,19,D,21,8,-,D,5,5,D,5,11,9,3,D,8,-,-,12,309
Belgium,537,88,28,25,28,13,11,43,9,15,4,26,16,8,D,4,5,3,10,7,5,3,3,6,3,D,7,D,-,10,-,D,D,-,4,-,5,D,-,D,D,D,D,D,-,D,D,D,D,D,-,8,117
Belize,632,95,17,145,6,39,66,5,8,6,11,-,4,D,D,16,9,4,4,6,D,D,3,-,17,3,3,D,5,-,D,D,-,-,-,D,D,4,D,-,-,D,-,-,-,D,7,-,-,D,D,15,111
Benin,573,71,-,D,88,15,32,-,12,5,23,D,9,3,24,-,D,12,-,D,D,D,3,16,D,D,4,6,-,4,D,-,25,-,7,3,-,-,D,D,5,-,D,D,-,D,-,D,D,-,-,12,173
Bermuda,65,6,5,-,D,D,D,-,D,4,10,D,D,-,D,D,-,D,D,-,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,3,D,-,D,-,-,D,-,-,-,-,-,-,-,D,14
Bhutan,"2,350",39,-,-,-,17,68,9,80,10,96,-,26,-,26,-,-,52,-,12,-,6,12,65,D,13,26,219,-,51,79,-,-,43,D,12,-,-,-,-,73,24,-,32,-,57,-,40,-,-,-,4,"1,153"
Bolivia,"1,523",183,103,72,619,33,26,11,18,18,7,8,9,6,D,11,21,4,14,11,3,3,7,6,D,9,7,3,17,5,4,37,4,D,D,5,4,3,-,-,D,10,D,4,D,D,10,D,-,-,3,17,176
Bosnia and Herzegovina,682,41,10,14,22,14,55,15,15,16,20,13,19,7,5,D,24,7,3,21,8,4,3,9,9,11,D,D,3,8,7,D,D,5,-,7,3,8,-,-,4,14,-,38,3,5,-,-,3,-,-,4,198
Botswana,72,7,D,D,5,6,D,D,D,D,4,D,D,-,-,-,-,D,D,D,-,-,-,-,-,D,6,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,23
Brazil,"15,394","1,982","1,901",463,375,308,262,416,247,"1,643",405,173,219,302,198,69,229,104,830,53,265,48,132,89,82,104,69,58,34,106,21,160,32,38,82,39,299,87,10,40,40,91,5,66,71,37,77,269,28,4,10,106,"2,616"
Brunei,29,4,-,3,D,D,D,D,D,-,D,-,-,D,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
Bulgaria,"1,798",163,51,71,65,24,327,51,23,66,48,25,50,20,28,8,24,7,12,21,14,4,3,16,85,10,12,7,7,10,D,13,7,-,14,-,6,8,D,D,7,13,D,31,3,5,3,4,4,-,-,27,396
Burkina Faso,525,226,D,D,44,18,4,4,D,-,10,-,10,-,23,-,D,5,-,-,D,-,5,6,-,-,16,4,-,D,D,-,D,D,D,6,-,D,D,-,11,-,-,5,-,10,-,-,4,D,-,D,95
Burma,"8,182",208,15,210,45,131,276,278,469,27,327,36,72,56,74,15,17,318,10,143,D,17,28,170,6,92,215,33,86,122,47,5,729,118,26,129,-,117,D,10,25,56,D,22,9,11,-,D,443,-,5,77,"2,852"
Burundi,762,12,-,3,16,12,8,-,30,10,23,-,13,12,4,-,-,7,5,36,-,-,9,5,4,D,D,6,4,D,27,D,16,16,-,9,-,D,-,-,D,16,-,D,4,12,-,3,D,-,-,D,426
Cabo Verde,"1,929",16,3,D,3,D,-,-,-,"1,316",-,-,-,D,D,D,-,-,5,-,D,-,-,D,-,-,-,-,D,D,-,517,-,-,-,-,14,-,D,-,-,D,-,-,D,-,-,3,-,-,-,D,37
Cambodia,"3,187",30,4,474,98,110,38,97,98,323,52,48,196,53,117,78,20,146,5,21,9,25,18,26,18,33,4,20,6,12,17,71,5,6,D,D,10,30,-,10,21,23,25,D,12,23,D,6,4,-,47,42,649
Cameroon,"4,236",166,12,76,"1,131",196,107,38,225,147,173,18,12,8,100,20,21,155,14,73,37,8,30,20,15,15,221,82,37,33,5,4,13,4,11,34,3,7,5,D,49,8,3,4,3,12,-,22,D,D,3,21,831
Canada,"9,898",949,379,602,188,305,274,527,166,218,135,313,450,202,131,104,143,116,116,201,296,58,112,102,82,120,42,56,50,89,14,29,38,37,42,31,22,42,16,31,38,37,13,58,21,45,40,22,34,5,13,188,"2,556"
Cayman Islands,47,3,11,-,-,D,-,D,-,-,D,-,-,-,D,-,5,-,D,4,-,-,-,-,D,-,D,-,-,-,-,-,D,-,D,-,D,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,8
Central African Republic,304,7,-,-,16,D,23,D,13,-,35,D,-,5,-,-,-,-,3,21,D,-,-,39,D,D,D,-,D,D,-,-,6,4,-,D,-,5,-,-,D,20,-,D,3,7,-,10,-,-,-,D,72
Chad,251,22,-,D,8,5,13,-,5,-,18,D,D,3,-,-,-,-,-,11,D,-,D,15,-,D,18,D,-,-,9,-,D,D,-,D,D,4,-,-,-,12,-,-,D,-,-,-,-,-,-,-,92
Chile,"1,519",216,233,54,66,33,45,38,33,36,31,24,30,17,17,12,19,21,37,15,4,4,16,22,5,18,18,D,15,17,D,3,D,4,3,4,10,D,D,3,6,19,-,4,4,6,4,4,5,-,-,12,324
"China, People's Republic","65,214","17,122",714,"8,553","1,650","1,518","1,688","5,583",817,"2,038",810,"3,234","1,988",871,"1,244","1,174",193,364,206,330,347,583,315,334,532,538,429,231,113,219,67,137,203,115,232,165,123,98,28,380,140,124,55,228,112,201,38,103,87,18,84,407,"8,331"
