NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"Tampa-Saint Petersburg-Clearwater, FL",41.0,200.0,6.0,3.0,,4.0,37.0,7.0,,20.0,3.0,,23.0,3.0,55.0,,17.0,4.0,18.0,,,,18.0,19.0,,144.0,,46.0,,21.0,,,18.0,21.0,214.0,7.0,,,10.0,272.0,486.0,8.0,6.0,49.0,5.0,4234.0,,,6.0,5.0,,4.0,481.0,70.0,183.0,51.0,,10.0,3.0,32.0,,10.0,,,,,43.0,25.0,30.0,,60.0,,,38.0,290.0,164.0,,22.0,,476.0,12.0,42.0,92.0,9.0,27.0,48.0,350.0,20.0,81.0,10.0,7.0,,,59.0,5.0,14.0,5.0,3.0,29.0,,,13.0,11.0,,,5.0,,,8.0,,,,,,603.0,14.0,,,,,51.0,,,15.0,10.0,,15.0,,79.0,,74.0,,20.0,,127.0,339.0,41.0,6.0,,33.0,87.0,,6.0,11.0,,,7.0,7.0,17.0,,3.0,4.0,,4.0,,16.0,35.0,,26.0,11.0,21.0,,,20.0,3.0,31.0,25.0,,3.0,51.0,8.0,,53.0,13.0,41.0,,,9.0,59.0,5.0,167.0,4.0,20.0,6.0,195.0,373.0,,4.0,3.0,10.0,11657.0
"Sacramento--Roseville--Arden-Arcade, CA",2022.0,,21.0,,,,16.0,106.0,,20.0,,7.0,,,51.0,,79.0,,,,,,6.0,5.0,,42.0,,22.0,,23.0,,,27.0,5.0,71.0,,,,11.0,707.0,27.0,16.0,,8.0,,19.0,,3.0,3.0,3.0,,,22.0,3.0,42.0,78.0,,9.0,3.0,80.0,242.0,,,,,12.0,30.0,7.0,7.0,,45.0,,,7.0,7.0,20.0,49.0,11.0,,1081.0,16.0,230.0,390.0,12.0,21.0,15.0,20.0,28.0,35.0,23.0,45.0,,,75.0,7.0,19.0,18.0,3.0,16.0,,26.0,10.0,5.0,,,,,4.0,16.0,,,,,,1548.0,249.0,,19.0,,,20.0,,,102.0,7.0,9.0,12.0,,96.0,,350.0,,5.0,,46.0,875.0,14.0,8.0,,60.0,129.0,,,,,,13.0,,10.0,,15.0,,,,3.0,,9.0,,8.0,9.0,5.0,,,5.0,4.0,34.0,29.0,3.0,4.0,35.0,,14.0,,,28.0,,,3.0,400.0,10.0,80.0,3.0,,38.0,14.0,753.0,,26.0,3.0,3.0,11219.0
"Las Vegas-Henderson-Paradise, NV",95.0,31.0,6.0,,,,28.0,63.0,,26.0,,24.0,,,9.0,,10.0,5.0,12.0,,,9.0,14.0,10.0,,69.0,,130.0,,29.0,,,20.0,11.0,99.0,,,,9.0,615.0,82.0,22.0,,16.0,6.0,1599.0,,,7.0,,,,55.0,29.0,31.0,310.0,,52.0,3.0,499.0,6.0,,,,,5.0,29.0,16.0,11.0,,115.0,,,,16.0,88.0,20.0,15.0,,143.0,12.0,130.0,81.0,,72.0,20.0,28.0,53.0,20.0,11.0,11.0,,,111.0,3.0,7.0,,3.0,21.0,,4.0,,5.0,,,13.0,,,15.0,3.0,,,,,2093.0,39.0,,9.0,4.0,,25.0,,,26.0,7.0,6.0,34.0,,37.0,4.0,43.0,,16.0,,89.0,1350.0,14.0,,3.0,46.0,64.0,8.0,,,,4.0,10.0,,26.0,5.0,4.0,,,,,3.0,22.0,,18.0,30.0,7.0,,,,3.0,31.0,19.0,,,105.0,4.0,3.0,5.0,,11.0,,,,41.0,,74.0,3.0,3.0,12.0,26.0,224.0,,,,,9732.0
"Denver-Aurora-Lakewood, CO",175.0,9.0,52.0,,,,29.0,11.0,,48.0,,,,,25.0,,27.0,6.0,3.0,12.0,,114.0,7.0,15.0,,57.0,,23.0,,240.0,8.0,,32.0,30.0,156.0,,11.0,4.0,23.0,361.0,69.0,189.0,11.0,21.0,5.0,48.0,,,13.0,,9.0,,31.0,15.0,23.0,118.0,,77.0,4.0,595.0,,,,4.0,5.0,8.0,61.0,116.0,,,54.0,10.0,,3.0,23.0,49.0,6.0,9.0,,229.0,47.0,79.0,283.0,14.0,53.0,27.0,26.0,32.0,34.0,22.0,51.0,,,131.0,7.0,6.0,17.0,9.0,10.0,,31.0,34.0,4.0,,,5.0,,11.0,64.0,17.0,,,,,2773.0,34.0,,48.0,,,80.0,5.0,,281.0,11.0,13.0,13.0,,70.0,,70.0,,9.0,5.0,73.0,186.0,22.0,,6.0,15.0,110.0,22.0,,,,,24.0,9.0,6.0,,,6.0,,4.0,,126.0,41.0,3.0,35.0,12.0,106.0,,,15.0,7.0,16.0,30.0,28.0,7.0,71.0,11.0,,,3.0,24.0,,,47.0,94.0,9.0,118.0,4.0,,42.0,54.0,524.0,,,7.0,8.0,9634.0
"Baltimore-Columbia-Towson, MD",76.0,21.0,8.0,,,,14.0,8.0,,22.0,4.0,10.0,11.0,,118.0,4.0,14.0,3.0,6.0,10.0,3.0,26.0,,4.0,5.0,78.0,,15.0,11.0,273.0,8.0,3.0,8.0,240.0,95.0,,10.0,,11.0,555.0,70.0,94.0,6.0,12.0,,27.0,,,5.0,10.0,5.0,9.0,141.0,35.0,97.0,261.0,,32.0,5.0,161.0,,,,3.0,18.0,16.0,38.0,157.0,27.0,,75.0,19.0,,34.0,24.0,117.0,22.0,,5.0,657.0,12.0,117.0,88.0,16.0,15.0,22.0,257.0,40.0,36.0,11.0,128.0,,5.0,243.0,7.0,6.0,3.0,8.0,4.0,,94.0,,,,,,,,43.0,24.0,,,,,157.0,18.0,,8.0,,,48.0,,3.0,438.0,4.0,9.0,11.0,,724.0,,463.0,,29.0,,56.0,367.0,25.0,11.0,,21.0,80.0,13.0,3.0,4.0,4.0,,23.0,32.0,7.0,,40.0,4.0,,7.0,,,15.0,,13.0,10.0,53.0,,,6.0,4.0,24.0,31.0,,17.0,28.0,12.0,,75.0,3.0,30.0,,,29.0,70.0,11.0,97.0,6.0,6.0,66.0,31.0,191.0,,24.0,4.0,9.0,8509.0
"Portland-Vancouver-Hillsboro, OR-WA",154.0,8.0,4.0,,,,41.0,7.0,,46.0,5.0,6.0,,,56.0,,25.0,7.0,,,,35.0,11.0,8.0,6.0,55.0,,13.0,,105.0,7.0,,42.0,13.0,137.0,,,,15.0,599.0,41.0,50.0,3.0,29.0,5.0,198.0,,,9.0,5.0,,,17.0,10.0,85.0,65.0,,26.0,3.0,185.0,29.0,6.0,,,8.0,17.0,67.0,22.0,5.0,,147.0,4.0,,,12.0,40.0,15.0,16.0,4.0,399.0,19.0,115.0,268.0,22.0,31.0,21.0,19.0,71.0,18.0,37.0,74.0,,,186.0,8.0,9.0,12.0,4.0,27.0,,9.0,11.0,,,,4.0,,,23.0,,,,,,1593.0,79.0,,3.0,3.0,,24.0,,,77.0,22.0,11.0,7.0,,53.0,,34.0,,4.0,4.0,35.0,334.0,17.0,3.0,,105.0,122.0,23.0,,,,5.0,33.0,3.0,7.0,,8.0,8.0,,4.0,,109.0,31.0,,26.0,29.0,6.0,,,21.0,10.0,46.0,90.0,3.0,,104.0,3.0,22.0,,6.0,28.0,,,9.0,247.0,8.0,144.0,,,12.0,29.0,802.0,,4.0,4.0,10.0,8339.0
"Austin-Round Rock, TX",153.0,13.0,37.0,,,,16.0,6.0,,31.0,,,,6.0,91.0,,24.0,9.0,6.0,,,29.0,9.0,7.0,,117.0,,9.0,,67.0,,,16.0,40.0,125.0,,,,20.0,303.0,80.0,44.0,,28.0,,623.0,,,,,,,25.0,17.0,25.0,78.0,,24.0,,126.0,,,,,3.0,6.0,37.0,16.0,11.0,,61.0,3.0,,,15.0,143.0,11.0,24.0,,580.0,12.0,130.0,518.0,19.0,45.0,24.0,19.0,25.0,33.0,9.0,12.0,,,241.0,9.0,3.0,,,14.0,,7.0,7.0,3.0,,,5.0,,3.0,19.0,,,,,,2110.0,,,3.0,,,36.0,,,200.0,20.0,8.0,20.0,,119.0,,154.0,,10.0,,17.0,156.0,16.0,,3.0,40.0,67.0,34.0,,3.0,,,6.0,4.0,12.0,,4.0,12.0,,,,12.0,27.0,,41.0,21.0,37.0,,,10.0,5.0,13.0,67.0,6.0,,48.0,,,5.0,,33.0,,,,56.0,12.0,115.0,6.0,,7.0,54.0,321.0,,,3.0,,8224.0
"Charlotte-Concord-Gastonia, NC-SC",11.0,10.0,3.0,,,,13.0,4.0,,24.0,8.0,3.0,,,10.0,3.0,18.0,8.0,,9.0,,116.0,6.0,6.0,,100.0,,18.0,,249.0,,,22.0,17.0,94.0,3.0,,,14.0,237.0,197.0,229.0,13.0,46.0,3.0,164.0,,,,,,,215.0,120.0,52.0,207.0,,33.0,4.0,74.0,,7.0,,,8.0,,67.0,53.0,6.0,,66.0,10.0,,10.0,36.0,212.0,4.0,7.0,,579.0,5.0,45.0,27.0,16.0,13.0,30.0,65.0,21.0,30.0,20.0,27.0,,,76.0,3.0,3.0,6.0,,6.0,,90.0,5.0,12.0,,,,,,69.0,10.0,,,,,954.0,11.0,,,,,31.0,,,138.0,13.0,10.0,38.0,,67.0,,31.0,,8.0,,84.0,154.0,10.0,,,28.0,69.0,12.0,3.0,,,,11.0,12.0,10.0,,11.0,,,,,12.0,35.0,,24.0,,11.0,,,13.0,3.0,17.0,15.0,,4.0,23.0,38.0,,12.0,3.0,28.0,4.0,,5.0,52.0,10.0,109.0,,9.0,13.0,57.0,322.0,,38.0,4.0,10.0,6583.0
"San Antonio-New Braunfels, TX",181.0,,28.0,,,,16.0,,,13.0,,,,,42.0,,,,8.0,,,35.0,6.0,,,34.0,,7.0,,98.0,,,9.0,34.0,53.0,,,,,113.0,95.0,33.0,3.0,8.0,,244.0,,,,,,,48.0,16.0,27.0,79.0,,36.0,,20.0,,,,,,3.0,32.0,11.0,,3.0,56.0,,,3.0,14.0,101.0,4.0,,,265.0,9.0,123.0,293.0,3.0,7.0,9.0,32.0,25.0,27.0,3.0,20.0,,,51.0,,5.0,3.0,4.0,16.0,,5.0,4.0,,,,,,,32.0,,,,,,2770.0,14.0,,,,,12.0,,5.0,34.0,6.0,6.0,15.0,,75.0,,73.0,,17.0,,39.0,306.0,10.0,,,12.0,19.0,17.0,,,,,8.0,3.0,3.0,,,4.0,,,,11.0,13.0,,13.0,16.0,25.0,,,4.0,,20.0,14.0,,5.0,55.0,8.0,,,4.0,20.0,,,4.0,17.0,,57.0,5.0,,3.0,24.0,150.0,,,,,6365.0
"Columbus, OH",22.0,35.0,127.0,,,,10.0,7.0,,9.0,3.0,4.0,4.0,,26.0,,13.0,,,7.0,3.0,262.0,3.0,,,33.0,,4.0,3.0,86.0,,,19.0,91.0,65.0,,5.0,10.0,4.0,261.0,35.0,30.0,16.0,,,20.0,,,,,8.0,,106.0,16.0,60.0,55.0,,67.0,,334.0,,,,4.0,34.0,5.0,26.0,375.0,7.0,,19.0,76.0,,5.0,45.0,42.0,7.0,,,451.0,14.0,58.0,275.0,4.0,16.0,20.0,44.0,33.0,105.0,7.0,204.0,,,51.0,18.0,,8.0,,24.0,,57.0,18.0,,,,24.0,,3.0,25.0,7.0,7.0,,33.0,,190.0,,,,,,59.0,,,226.0,,,7.0,,104.0,,86.0,,3.0,,23.0,80.0,3.0,,,11.0,28.0,5.0,,,,,42.0,91.0,6.0,,86.0,3.0,,3.0,,714.0,40.0,,6.0,17.0,28.0,,,,,34.0,23.0,,27.0,24.0,24.0,,7.0,6.0,25.0,,,39.0,41.0,27.0,48.0,,,11.0,18.0,72.0,,13.0,3.0,9.0,6326.0
"Providence-Warwick, RI-MA",15.0,9.0,3.0,16.0,,,6.0,12.0,,6.0,,,,,28.0,3.0,10.0,,,,,5.0,35.0,,,136.0,,11.0,,7.0,8.0,614.0,66.0,,39.0,,,,4.0,191.0,165.0,13.0,7.0,3.0,,16.0,,,,,,,1465.0,27.0,55.0,70.0,,3.0,,6.0,,,,,21.0,5.0,18.0,46.0,14.0,,396.0,10.0,8.0,,117.0,53.0,3.0,,,136.0,,18.0,37.0,10.0,6.0,18.0,54.0,8.0,11.0,,14.0,,,21.0,4.0,4.0,11.0,,53.0,,123.0,,,,,3.0,,,4.0,,,,,,61.0,,,,,,24.0,3.0,,39.0,4.0,,5.0,,137.0,,77.0,,,,25.0,69.0,19.0,140.0,,4.0,29.0,4.0,,6.0,,,4.0,47.0,,,4.0,3.0,,,,5.0,9.0,,14.0,3.0,,,,3.0,,54.0,10.0,,5.0,12.0,,,9.0,,12.0,3.0,,9.0,6.0,3.0,46.0,,6.0,13.0,18.0,39.0,,,3.0,,5266.0
