Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA"
Colombia,"21,131","5,059",534,"4,904",529,325,866,152,335,508,621,243,103,56,77,145,43,91,72,894,59,86,529,32,80,64,26,32,94,193,26,10,306,42,198,44,57,39,73,89,20,33,107,32,8,18,24,27,157,34,20
"Congo, Democratic Republic","2,792",77,49,3,154,39,88,19,297,62,105,20,93,,36,8,11,31,18,12,27,10,10,6,45,13,11,,12,108,29,,20,22,,13,58,12,37,,,23,14,7,3,5,,37,,32,4
"Congo, Republic","1,059",50,32,,57,41,30,4,105,25,56,9,15,,3,6,,13,16,4,12,,7,3,21,,3,,8,48,8,,4,5,5,8,26,6,6,,,11,3,,5,,,10,,5,3
Costa Rica,"2,114",517,88,224,62,33,54,25,55,23,45,43,16,14,15,14,,9,15,36,12,15,41,6,15,22,10,,6,36,,,26,11,4,7,22,,5,,,,19,,,5,,5,7,10,
Cote d'Ivoire,"1,486",463,14,7,168,25,37,11,51,22,81,76,28,,4,10,15,5,23,,24,,8,,24,5,3,,4,17,15,,5,,8,18,,,8,,,7,6,10,,9,,17,,,
Croatia,353,61,28,13,11,35,9,6,,8,5,6,,9,5,,,6,4,,5,11,3,,6,,,,4,,,,4,,,,,,3,,,6,,4,,,,3,,5,3
Cuba,"32,219",743,121,"22,171",45,66,630,27,136,32,123,38,11,9,34,37,8,197,24,613,10,588,"1,870",6,17,227,76,9,38,52,12,,7,34,4,4,27,56,14,6,23,10,262,11,,12,,3,55,7,
Cyprus,126,27,11,,6,3,3,3,,7,,8,5,5,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Czech Republic,676,68,31,24,24,52,13,27,,19,12,10,18,10,12,6,7,7,4,14,4,10,20,,15,4,6,,,3,,4,6,8,,4,10,,,,,,4,,,3,,,,,5
"Czechoslovakia, former",74,3,,6,3,7,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,506,60,39,16,17,18,25,44,7,22,18,7,20,13,11,8,,,4,5,,10,,3,6,,12,,3,,,,7,,,,8,,,,,,,,,,3,6,,4,
Djibouti,90,,,,8,,,,3,,,,4,,,,,,10,,,,,,3,,,,,,7,,,,,,,,7,,,,,,,,,,,,
Dominica,244,72,,11,13,,12,,,13,5,3,,,,,3,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,"41,311","24,891",51,"2,102",384,86,133,25,81,"2,902",179,"1,106",25,,17,6,44,44,35,644,100,34,267,7,9,10,4,4,26,97,68,,263,18,901,36,77,29,17,128,13,10,48,29,,185,,25,"1,937",22,
Ecuador,"10,591","5,893",335,871,193,450,107,36,69,79,83,95,16,6,13,51,9,23,145,143,25,33,88,5,13,8,13,8,8,189,11,6,280,11,23,7,17,16,26,35,,8,21,8,,27,4,9,16,,
Egypt,"10,294","3,151","1,161",101,489,184,191,147,229,207,80,240,150,44,47,275,87,43,77,200,76,23,212,32,12,33,55,4,14,31,46,5,12,712,80,54,72,18,,11,,15,14,116,18,58,16,23,,11,23
El Salvador,"18,260","2,136","3,848",389,"3,078",113,"1,501",783,622,503,251,49,99,138,52,375,9,109,106,51,176,247,54,73,74,81,46,9,64,98,25,4,38,61,39,41,63,45,66,18,7,5,15,14,128,50,46,6,8,6,
Equatorial Guinea,18,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,"2,138",31,62,6,333,42,108,138,95,41,97,18,190,50,29,3,7,28,47,6,27,58,,9,70,16,25,,10,29,39,,3,10,,19,19,3,10,,,17,11,,,,,11,,12,
Estonia,211,36,15,13,14,8,,10,7,,,5,6,,,,,,6,3,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,4,,,
Ethiopia,"13,097",198,293,34,"2,968",197,293,268,586,281,654,150,952,227,170,26,33,110,862,19,194,477,39,84,540,76,153,,31,74,204,5,12,151,8,61,59,119,51,8,,76,65,16,19,7,4,64,,24,6
Fiji,895,7,55,,6,6,5,150,5,,6,,67,21,7,28,,6,,,,8,3,240,,,46,,,,,7,,,,,,,,,,,,,,,4,,,,
Finland,331,32,18,20,13,5,12,14,5,20,5,13,13,28,26,,,5,,,,,,,,4,4,,,,,,,,,4,,5,,,,,,,,,,,,,
France,"4,425",980,328,285,150,105,109,315,86,187,62,77,130,158,89,22,40,31,29,42,29,41,38,14,16,34,32,,6,28,10,12,25,12,11,10,8,13,8,6,,14,8,13,7,13,16,15,5,16,13
