Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI"
Mongolia,651,28,59,4,89,10,94,144,3,3,,,5,,33,,,4,,,,16,3,7,23,,,,,,,,,5,,,,5,3,,6,,,,,,,,,5,
Montenegro,289,178,4,5,6,,25,,4,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,38,15,,,4,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"3,605",674,81,97,296,59,127,65,73,414,52,8,13,129,31,17,32,30,33,181,46,9,17,33,55,9,19,19,11,49,10,27,,,13,17,71,3,17,12,8,18,12,19,,48,9,,,34,3
Mozambique,71,6,,,7,,,,3,,8,,,,,,,,,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,,
Namibia,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Nepal,"12,357","1,285",287,25,"1,019",417,265,428,972,414,276,128,42,175,195,32,54,102,142,16,15,72,32,453,335,65,187,112,52,233,80,29,9,13,25,38,69,108,83,63,88,17,96,83,,65,47,12,,39,22
Netherlands,"1,195",140,67,45,24,62,40,72,14,43,33,44,16,27,46,5,14,23,9,22,18,11,,7,4,20,9,4,5,5,,3,,,,5,6,4,3,,9,6,,,,6,3,3,,12,5
Netherlands Antilles (former),45,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,796,104,79,15,21,22,23,59,12,14,5,15,15,8,22,9,8,10,14,5,3,14,4,6,10,6,4,10,8,8,,6,,13,,3,3,18,3,,,,,4,,,,,,3,4
Nicaragua,"2,886",154,260,"1,134",113,100,36,184,45,8,39,23,10,31,22,52,,7,9,32,36,12,37,3,,,24,19,15,4,7,11,3,,11,,6,4,3,,3,5,6,,,,,,4,4,6
Niger,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Nigeria,"12,828","1,783",380,118,"1,157","1,477",617,151,794,354,878,47,49,341,45,134,122,85,268,50,68,72,36,613,72,26,86,42,48,72,60,15,26,10,275,104,90,13,74,42,70,40,22,44,10,73,17,21,22,69,38
Norway,271,30,23,8,10,29,4,13,8,4,5,8,3,3,9,3,,,3,6,,,4,4,7,3,3,,,,,,,,,,,,,,,,,,,,,,,3,
Oman,90,11,7,,8,4,4,3,6,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,"18,612","4,800",556,276,"1,363","1,261","1,298",357,700,221,358,193,88,447,230,197,360,58,140,112,46,427,39,509,44,46,103,57,63,76,30,73,5,4,65,50,66,42,73,154,77,24,43,24,6,38,53,288,31,21,76
Palau,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,"1,095",213,48,156,38,20,5,27,33,22,38,5,7,19,12,10,,3,3,21,23,10,14,11,3,,6,,9,,4,,,,4,,6,11,3,,5,10,3,4,,,,3,,8,
Papua New Guinea,18,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,391,171,15,46,34,,,7,3,4,6,,4,,,3,,,,,,,,,3,6,,,,,,6,4,,,,,,,,,,,,,,,,,,
Peru,"10,606","2,603",716,"1,631",857,184,152,364,155,174,173,80,46,103,89,119,25,52,37,175,95,40,67,41,88,21,40,70,30,20,19,127,4,6,20,35,41,162,37,139,24,43,8,16,8,30,29,9,7,22,5
Philippines,"49,996","4,008","7,359",623,"1,129",874,"1,965","3,458",703,187,258,"1,336","1,936",370,"1,234","1,325",263,586,219,364,355,707,"1,596",404,134,254,116,116,243,93,200,93,49,"2,210",99,79,85,65,118,55,136,237,63,73,97,249,33,445,178,499,67
Poland,"5,689","1,841",126,102,74,26,"1,645",58,15,74,41,52,30,133,43,10,97,38,23,14,60,13,24,23,19,16,6,21,10,17,8,71,,6,7,20,14,3,3,179,9,8,,26,,12,21,,,14,24
Portugal,892,277,19,48,43,8,,16,15,88,7,19,5,22,9,3,5,,6,4,,,6,5,3,,6,,,3,,12,,,,122,,4,,3,,3,,,,5,6,3,,,
Qatar,202,24,12,,21,24,4,9,9,3,,,,,4,,11,3,,3,,,,,5,,,,3,,,,,,,,6,,,,,4,,,,,,,,,
Romania,"3,246",351,195,162,106,79,316,69,53,73,114,46,24,46,112,38,123,114,21,20,24,62,43,18,19,75,10,21,14,3,14,16,,8,20,10,8,7,4,11,7,13,6,53,,14,4,,,12,4
Russia,"9,079","1,919",643,498,325,172,299,380,100,330,152,252,155,230,335,31,61,69,81,118,81,140,83,75,88,137,45,69,30,36,23,40,,14,18,14,40,18,20,24,30,45,13,45,,31,15,4,9,42,35
Rwanda,555,21,3,,14,33,14,,38,17,11,,3,,5,8,6,30,3,,,,9,6,7,7,5,,,8,8,,,,,,,14,,,,,14,3,,3,,,,,8
Saint Kitts-Nevis,263,79,,40,10,,,,,3,10,,,,,,,,,8,9,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,
Saint Lucia,844,438,12,45,21,30,,,7,21,14,,,6,,,,5,,18,6,,,3,3,,4,,,,,8,,,,3,,,,31,,,,,,,,,,,8
Saint Vincent and the Grenadines,448,319,3,8,,,,,,10,9,,4,16,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,4,
Samoa,239,,23,,,,,5,,,,,6,,32,7,,,,,,4,16,,,3,,,,,,,,29,3,,,26,,,,,,,,,,,,,
Sao Tome and Principe,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"1,696",175,92,26,153,88,107,41,64,37,19,15,22,19,38,20,58,10,37,32,16,15,4,11,25,16,8,11,8,29,15,4,,,13,4,11,,7,12,11,,4,3,,10,7,6,3,6,11
Senegal,"1,273",391,22,3,80,17,9,8,19,28,58,,,31,20,,18,5,8,3,5,,3,42,14,,6,5,6,67,7,4,3,4,21,29,19,,3,,7,4,27,9,,59,5,,,5,3
Serbia,"1,143",235,48,83,60,8,173,20,7,18,13,20,33,17,19,8,24,34,5,16,10,5,14,7,4,3,4,4,,,4,4,,,8,,,9,5,3,4,4,,14,,,3,,,,8
Serbia and Montenegro,267,139,7,7,7,,15,6,3,,,3,3,,,3,,3,3,4,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,,,,
Seychelles,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,"1,740",231,17,4,572,21,8,20,34,59,62,14,,190,14,4,7,27,60,,11,16,4,33,,4,4,15,,87,15,4,6,,3,3,8,,,3,5,3,,,,,3,4,,4,
Singapore,779,120,82,9,32,60,24,52,15,22,21,53,9,7,39,3,3,9,10,4,,,6,5,5,7,16,4,,6,,,,3,3,,,,,,,3,3,,,,,,,,
Sint Maarten,45,12,,5,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,460,112,23,24,16,6,28,22,10,,8,5,5,8,4,,3,4,,,7,,,3,6,,5,,,3,,12,,,,,4,,,,5,3,,5,,,,,,,
Slovenia,78,11,6,9,3,,3,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,"5,190",11,28,,80,36,94,8,79,64,108,12,91,,282,,,75,"1,146",,,,13,3,84,60,4,12,18,445,92,,,,16,,11,67,70,3,30,,70,6,,28,15,,,,16
South Africa,"2,676",298,142,134,102,68,41,67,64,62,80,33,41,44,72,19,19,46,42,42,36,21,18,23,64,20,19,41,5,10,6,15,,3,5,9,22,29,14,6,20,15,7,10,,7,6,5,5,22,3
South Sudan,74,,,,,,,,4,,,,,,3,,,4,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,
Soviet Union (former),"1,136",338,80,86,22,21,37,71,,49,8,18,16,33,19,,9,4,4,16,3,15,7,4,10,8,3,,,6,3,3,,,,,7,5,,,,,,5,,6,,,,8,
Spain,"2,928",471,148,602,116,126,83,128,63,119,31,45,45,50,45,10,25,19,13,46,29,10,20,17,10,14,25,9,5,6,5,18,8,3,24,7,8,16,11,4,10,6,9,4,,4,,,,14,11
Sri Lanka,"1,767",388,207,11,111,36,54,55,45,42,39,41,8,24,37,16,27,9,21,9,14,13,23,20,11,13,23,,,5,,12,,,,9,25,16,8,8,7,,,7,,4,11,4,3,,12
Sudan,"2,442",166,39,9,230,56,58,22,102,38,87,6,6,84,33,4,6,53,28,17,16,6,,32,79,6,11,23,21,24,20,,,,23,5,14,49,18,8,4,25,40,27,,5,,,,10,19
Suriname,158,95,,14,7,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,23,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,954,139,118,53,34,32,13,66,32,23,19,36,28,14,26,5,4,8,4,8,9,5,3,3,13,6,8,,,3,6,5,,3,,,6,3,,,3,4,,3,,,,,,10,3
Switzerland,656,105,55,38,16,19,17,44,10,36,14,18,14,7,11,7,3,5,6,6,6,3,3,,3,,4,7,,,,5,,5,3,7,,,,,4,3,,,,,,,,4,3
Syria,"3,540",376,452,62,87,108,270,55,75,61,28,12,73,38,20,161,162,62,16,51,25,29,19,22,9,31,11,18,32,24,15,40,3,,20,29,18,3,18,20,10,55,5,38,,6,21,14,9,,10
Taiwan,"4,697",499,"1,004",29,143,143,94,397,106,117,51,432,96,44,144,117,21,31,22,17,15,32,25,30,15,102,53,15,8,21,,6,11,33,18,4,17,28,14,10,27,,12,7,3,15,9,11,10,7,5
Tajikistan,516,230,24,4,50,5,10,6,8,,,9,3,20,4,,,5,7,4,,3,4,,37,,,,,,,,,,,3,,,3,,,,,,,,,,,,
Tanzania,774,55,15,8,78,58,12,10,43,26,16,4,13,11,18,,,22,25,11,,3,5,9,3,6,,7,6,29,21,3,,,4,,,,4,,3,5,8,18,,,4,,,,4
Thailand,"6,197",251,642,104,198,162,128,193,167,128,125,61,76,59,174,54,25,117,346,27,47,31,109,27,84,89,34,30,31,11,58,17,,126,30,10,17,65,32,12,12,24,31,17,,17,11,11,16,26,59
Togo,"1,612",255,7,5,258,11,62,3,31,18,96,,7,39,7,,3,13,69,3,14,,4,15,13,,,24,5,14,,,,,15,5,21,6,10,15,5,6,12,3,,11,,,,16,
Tonga,320,,11,,,,,72,9,,,21,,,12,6,,5,,,,10,,,,4,,,,,,,,18,,,,69,,,,,,,,,,,,,
Trinidad and Tobago,"3,988","2,310",31,391,130,93,12,10,18,59,81,,,98,15,3,10,10,16,89,52,,10,90,3,3,6,11,4,4,4,25,,3,,8,9,,,15,3,8,,9,,6,,,,11,
Tunisia,429,56,34,15,29,13,15,23,11,8,12,,8,15,10,5,9,4,,14,7,,,8,4,,,3,,,,6,,,3,,3,,,,,,4,,,,,,,,
Turkey,"3,834","1,007",253,108,186,157,110,142,93,112,63,92,72,157,62,10,32,21,22,27,43,11,10,35,20,20,22,12,19,25,15,18,5,,10,18,21,7,11,24,12,37,,10,,8,8,,,19,24
Turkmenistan,254,66,4,11,6,9,21,5,12,3,,3,3,7,11,,,,,,,,5,,5,,,,,,,,,,,,6,,,,,,,,,,4,,4,,4
Turks and Caicos Islands,40,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,"1,409",59,56,5,94,26,46,14,44,240,26,7,16,13,47,15,11,12,39,11,7,4,,20,34,5,6,11,9,26,7,,,3,9,3,11,8,6,8,,4,9,,,5,6,,,3,
Ukraine,"7,752","1,845",320,205,195,86,828,144,59,152,76,118,44,358,264,24,202,51,70,55,68,230,52,60,73,144,23,34,20,31,8,81,6,9,16,8,31,13,10,45,32,21,23,131,,32,4,,8,28,31
United Arab Emirates,"1,039",128,77,27,66,81,45,31,70,16,22,22,19,18,31,17,35,5,17,12,6,11,,11,9,4,11,10,10,,,3,3,,3,,5,,5,3,,,4,6,3,,5,,,,6
United Kingdom,"12,225","1,787",888,373,393,546,314,533,253,400,310,268,167,244,227,94,108,132,93,260,180,73,80,97,72,103,114,95,52,50,59,166,7,13,68,58,84,36,50,47,47,47,27,43,3,67,38,13,11,36,28
United States,358,64,33,16,23,13,10,7,,3,6,3,7,8,7,10,,4,,,,,5,4,3,,3,,5,,,,10,,,,,3,,,,,3,,4,,,,,,
Uruguay,"1,128",329,25,296,42,34,6,4,7,8,55,5,7,6,,5,,10,5,13,5,,6,14,,,,11,,,,20,,,,3,8,11,,,,,,3,,,40,,3,,
Uzbekistan,"5,194","3,255",141,61,78,24,75,63,34,30,20,12,43,199,32,,22,31,18,40,4,62,8,87,29,22,7,10,4,19,43,14,,7,7,7,4,4,10,4,27,,,31,,107,,,,4,
Venezuela,"8,427",524,109,"3,828",150,687,82,67,135,104,171,29,35,51,31,22,15,38,29,574,166,11,22,28,23,8,37,38,36,12,18,18,8,4,20,15,32,59,16,6,16,59,13,13,16,19,13,,4,5,
Vietnam,"30,283",409,"5,113",279,918,"2,095",447,"1,057","1,264",756,877,"2,484",787,651,"1,215",493,122,386,428,283,443,571,169,131,328,509,175,210,137,54,99,32,11,140,53,54,90,139,112,55,199,111,98,45,11,60,106,128,39,141,42
Yemen,"3,492","1,067",5,,26,6,72,294,41,,7,6,14,27,15,4,867,6,19,3,3,4,,3,,6,,,4,15,9,,,,,,4,,,15,12,,,7,,,,14,49,,3
Zambia,441,49,15,,16,9,18,8,45,12,33,,4,7,6,5,,6,8,10,,,4,4,,5,,,,6,3,,,,5,,,,4,,,,,8,,,6,,,,
Zimbabwe,797,58,17,5,48,11,15,4,93,31,32,6,3,41,11,7,12,7,17,7,4,4,,9,9,7,9,,9,8,11,,,,32,,8,3,,,3,,6,8,,5,8,,,,
