Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA"
Bhutan,"2,350",39,,,,17,68,9,80,10,96,,26,,26,,,52,,12,,6,12,65,,13,26,219,,51,79,,,43,,12,,,,,73,24,,32,,57,,40,,,
Bolivia,"1,523",183,103,72,619,33,26,11,18,18,7,8,9,6,,11,21,4,14,11,3,3,7,6,,9,7,3,17,5,4,37,4,,,5,4,3,,,,10,,4,,,10,,,,3
Bosnia and Herzegovina,682,41,10,14,22,14,55,15,15,16,20,13,19,7,5,,24,7,3,21,8,4,3,9,9,11,,,3,8,7,,,5,,7,3,8,,,4,14,,38,3,5,,,3,,
Botswana,72,7,,,5,6,,,,,4,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,"15,394","1,982","1,901",463,375,308,262,416,247,"1,643",405,173,219,302,198,69,229,104,830,53,265,48,132,89,82,104,69,58,34,106,21,160,32,38,82,39,299,87,10,40,40,91,5,66,71,37,77,269,28,4,10
Brunei,29,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"1,798",163,51,71,65,24,327,51,23,66,48,25,50,20,28,8,24,7,12,21,14,4,3,16,85,10,12,7,7,10,,13,7,,14,,6,8,,,7,13,,31,3,5,3,4,4,,
Burkina Faso,525,226,,,44,18,4,4,,,10,,10,,23,,,5,,,,,5,6,,,16,4,,,,,,,,6,,,,,11,,,5,,10,,,4,,
Burma,"8,182",208,15,210,45,131,276,278,469,27,327,36,72,56,74,15,17,318,10,143,,17,28,170,6,92,215,33,86,122,47,5,729,118,26,129,,117,,10,25,56,,22,9,11,,,443,,5
Burundi,762,12,,3,16,12,8,,30,10,23,,13,12,4,,,7,5,36,,,9,5,4,,,6,4,,27,,16,16,,9,,,,,,16,,,4,12,,3,,,
Cabo Verde,"1,929",16,3,,3,,,,,"1,316",,,,,,,,,5,,,,,,,,,,,,,517,,,,,14,,,,,,,,,,,3,,,
Cambodia,"3,187",30,4,474,98,110,38,97,98,323,52,48,196,53,117,78,20,146,5,21,9,25,18,26,18,33,4,20,6,12,17,71,5,6,,,10,30,,10,21,23,25,,12,23,,6,4,,47
Cameroon,"4,236",166,12,76,"1,131",196,107,38,225,147,173,18,12,8,100,20,21,155,14,73,37,8,30,20,15,15,221,82,37,33,5,4,13,4,11,34,3,7,5,,49,8,3,4,3,12,,22,,,3
Canada,"9,898",949,379,602,188,305,274,527,166,218,135,313,450,202,131,104,143,116,116,201,296,58,112,102,82,120,42,56,50,89,14,29,38,37,42,31,22,42,16,31,38,37,13,58,21,45,40,22,34,5,13
Cayman Islands,47,3,11,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,304,7,,,16,,23,,13,,35,,,5,,,,,3,21,,,,39,,,,,,,,,6,4,,,,5,,,,20,,,3,7,,10,,,
Chad,251,22,,,8,5,13,,5,,18,,,3,,,,,,11,,,,15,,,18,,,,9,,,,,,,4,,,,12,,,,,,,,,
Chile,"1,519",216,233,54,66,33,45,38,33,36,31,24,30,17,17,12,19,21,37,15,4,4,16,22,5,18,18,,15,17,,3,,4,3,4,10,,,3,6,19,,4,4,6,4,4,5,,
"China, People's Republic","65,214","17,122",714,"8,553","1,650","1,518","1,688","5,583",817,"2,038",810,"3,234","1,988",871,"1,244","1,174",193,364,206,330,347,583,315,334,532,538,429,231,113,219,67,137,203,115,232,165,123,98,28,380,140,124,55,228,112,201,38,103,87,18,84
Colombia,"17,545","4,098","3,592",399,462,562,319,156,224,519,508,67,80,102,129,108,609,55,778,67,44,31,76,94,75,52,54,35,98,197,25,182,35,32,78,39,184,114,24,9,19,62,7,42,65,18,92,37,19,22,10
Comoros,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic","9,941",55,8,12,193,196,176,11,661,132,417,4,109,146,82,3,20,92,42,347,8,7,71,115,45,41,81,142,45,189,267,50,135,231,157,120,47,44,,,139,94,,78,18,115,,43,98,,
"Congo, Republic",580,40,,3,23,32,29,,23,4,17,,8,,,,,9,3,53,3,,3,18,,3,5,14,5,5,13,3,8,,15,8,,,,,3,5,,,4,4,,4,,,
Costa Rica,"2,171",588,181,75,56,47,31,21,37,29,40,17,22,17,53,26,56,12,38,27,6,10,19,17,19,15,8,5,25,70,5,4,4,7,4,7,27,15,,,4,10,,4,5,3,18,3,7,,
Cote d'Ivoire,"1,375",354,9,12,130,34,21,7,70,20,86,,17,10,73,,9,28,,5,11,5,5,19,,8,20,9,,17,5,3,17,3,6,6,,3,,,15,,,,,27,,9,12,,
Croatia,286,68,13,15,8,7,18,9,,3,3,6,5,3,5,3,4,,6,6,3,,,5,,,,,,3,,,,,,,,,,,,,,,,7,,,,,
