Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA"
Italy,"3,184",692,209,355,184,69,104,82,44,108,68,80,31,59,46,23,45,16,27,14,9,24,24,33,26,21,15,12,6,15,12,11,19,4,12,22,11,11,22,11,14,,,,11,6,18,10,9,5,
Jamaica,"12,826","4,235",85,"2,018",24,125,115,330,75,151,40,8,626,370,29,29,22,24,413,14,14,12,21,143,19,14,153,25,46,22,32,21,40,16,7,212,37,24,19,20,324,9,,,74,22,42,5,12,4,
Japan,"3,905",532,592,28,260,54,103,72,60,98,171,195,36,28,81,51,85,35,12,19,19,33,15,18,32,58,11,12,9,25,8,11,19,11,16,15,5,16,28,24,,,5,4,5,,16,229,9,3,
Jordan,"3,063",290,160,53,81,144,397,99,142,40,37,22,27,38,102,31,31,72,26,22,24,12,17,43,9,16,13,20,28,81,30,35,25,20,,,4,30,45,61,10,,,5,9,8,3,,31,10,7
Kazakhstan,"1,307",201,84,70,45,67,80,51,17,20,38,56,7,35,8,9,31,7,24,20,61,32,17,8,6,19,,4,24,4,,,,,6,,,3,3,3,,,,,8,,20,,,,
Kenya,"4,026",140,47,17,40,128,35,102,262,131,236,12,150,71,9,75,21,24,180,404,15,20,30,13,14,30,68,13,23,95,55,27,25,91,21,,21,66,20,9,4,7,3,6,4,58,9,5,7,23,
"Korea, North",28,,4,,3,,,,,,,3,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South","16,244","2,422","3,186",55,520,305,480,628,577,286,719,765,602,179,268,101,278,160,35,98,53,206,111,33,117,165,196,61,50,43,66,43,44,48,40,16,18,68,33,23,40,18,3,9,11,17,38,183,22,17,12
Kosovo,678,287,4,,,10,44,17,5,13,4,,14,4,21,3,,,,8,,4,14,7,,,6,3,4,,,,8,3,4,5,,,,7,9,,,,10,3,6,,,,
Kuwait,768,56,43,12,21,39,49,29,24,13,19,15,15,8,34,9,8,11,35,3,7,11,9,12,5,6,5,4,12,6,5,,9,5,,4,,4,9,6,,,,3,,4,,,6,,3
Kyrgyzstan,594,89,22,4,19,3,167,29,6,3,25,11,,31,,5,,,11,,17,9,,5,6,4,,,4,,3,3,,,,,,,23,4,,,,,,,8,,,3,
Laos,486,,8,,10,,14,4,13,6,5,,3,3,3,,11,13,,127,25,,3,,6,,4,,5,5,,,5,5,,,,,,,3,,,4,,,,8,7,,23
Latvia,224,33,16,11,11,3,11,4,6,7,4,3,3,,,,5,,,7,,3,,4,,4,,4,4,,,,,,,,,,,,,,,,,,,,,,
Lebanon,"2,120",164,192,59,39,127,41,70,65,124,21,31,20,27,366,17,34,46,40,10,14,19,7,16,18,9,12,5,9,6,18,10,,,,9,29,5,6,48,,,,,8,23,5,,,4,10
Lesotho,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"1,674",66,9,3,10,28,11,93,55,31,8,,64,324,8,26,4,,,272,13,6,6,4,7,7,50,5,43,25,,23,10,5,3,3,66,7,3,5,,,,3,3,19,,,,13,
Libya,514,13,22,11,9,28,6,33,11,33,14,4,7,4,20,,4,6,6,,,3,43,,3,16,,,3,6,4,,,8,,,,6,,3,,,,,3,,,,,,
Lithuania,475,56,24,21,13,,156,7,,11,11,8,7,11,,6,7,3,,,3,4,4,6,4,,8,,,,,,,4,,,,,,,,,,,,,,,,,
Luxembourg,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,64,9,15,,13,,,,,,4,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,84,11,,,4,4,,29,,4,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Malawi,197,,3,,,,4,11,12,7,4,,13,3,,3,,,,,,,3,,,,,,,4,,3,,5,,,,,,4,,,,,,,,,,,
Malaysia,"1,898",170,74,13,79,76,108,23,95,39,43,86,83,18,16,40,10,12,10,27,6,37,12,4,,38,13,4,22,21,8,114,7,7,15,,,6,8,,4,,,3,6,4,6,5,76,4,
Maldives,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,389,187,4,,,7,5,17,3,,3,,7,40,,,,,4,6,,,6,,,,9,,6,10,,7,,,,,5,,9,,,,,,,,,,,,
Malta,44,6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,
Marshall Islands,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,134,20,,,,,,10,,,,,,9,,,,,,,,,,,,,,,,24,,3,,,,,,,36,,,,,,,,,,,3,
Mauritius,68,14,,6,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"100,325","2,332","10,399",956,"3,035","5,726","5,301",520,"5,671",189,"1,235","1,442","1,345",466,850,"3,216","3,113","3,715",260,851,739,"1,432","1,480",379,"1,451",812,119,"1,874",597,148,353,426,348,619,837,100,47,229,152,192,49,"2,156","2,045",632,69,30,59,25,344,130,860
"Micronesia, Federated States",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,"1,367",88,30,35,26,9,281,40,17,29,121,9,24,15,,17,9,3,21,17,122,7,6,5,20,59,11,,5,8,7,,,,4,,3,3,,17,5,,,,3,,3,3,,,
Monaco,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,543,14,51,,84,,102,80,,6,32,7,3,6,,,9,,,,11,,25,,5,,,,4,,,,,,7,,,,,,3,,,,,,,,,,
Montenegro,303,165,4,12,,,35,,,,,6,,,25,,,3,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
Montserrat,12,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"2,866",451,81,79,76,43,114,228,65,234,38,17,58,102,26,18,16,12,90,29,5,19,40,32,23,13,25,6,16,71,75,9,12,13,5,30,16,6,34,7,19,,,,7,13,6,,6,23,
Mozambique,60,5,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,,
Namibia,90,5,,,,3,,,4,,,,3,,,,3,,,4,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,
Nauru,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,"7,847",666,184,34,335,148,131,575,703,291,110,89,133,85,41,42,27,36,24,132,89,117,219,15,26,45,262,31,81,231,74,15,44,50,31,16,21,48,93,62,23,8,,,11,35,108,16,29,85,
Netherlands,962,164,75,30,62,44,41,29,13,24,22,52,22,6,4,26,13,7,5,12,6,8,7,,6,21,10,4,5,,4,,6,,,7,5,3,3,,3,,,,,4,,,3,,
