Country,Total,NAME_LONG,ISO_A3
New Caledonia,4,New Caledonia,NCL
New Zealand,607,New Zealand,NZL
Nicaragua,"2,570",Nicaragua,NIC
Niger,139,Niger,NER
Nigeria,"12,398",Nigeria,NGA
North Macedonia,590,North Macedonia,MKD
Oman,118,Oman,OMN
Pakistan,"10,474",Pakistan,PAK
Palau,8,Palau,PLW
Panama,601,Panama,PAN
Papua New Guinea,19,Papua New Guinea,PNG
Paraguay,256,Paraguay,PRY
Peru,"5,626",Peru,PER
Philippines,"25,491",Philippines,PHL
Poland,"3,341",Poland,POL
Portugal,679,Portugal,PRT
Qatar,215,Qatar,QAT
Romania,"1,994",Romania,ROU
Russia,"7,967",Russia,RUS
Rwanda,"1,084",Rwanda,RWA
Saint Kitts and Nevis,106,Saint Kitts and Nevis,KNA
Saint Lucia,463,Saint Lucia,LCA
Saint Vincent and the Grenadines,196,Saint Vincent and the Grenadines,VCT
Samoa,154,Samoa,WSM
Sao Tome and Principe,4,Sao Tome and Principe,STP
Saudi Arabia,"1,854",Saudi Arabia,SAU
Senegal,999,Senegal,SEN
Serbia,"1,077",Serbia,SRB
Seychelles,4,Seychelles,SYC
Sierra Leone,713,Sierra Leone,SLE
Singapore,807,Singapore,SGP
Sint Maarten,21,Sint Maarten,SXM
Slovakia,343,Slovakia,SVK
Slovenia,76,Slovenia,SVN
Somalia,"2,024",Somalia,SOM
South Africa,"2,733",South Africa,ZAF
South Sudan,117,South Sudan,SSD
Spain,"2,620",Spain,ESP
Sri Lanka,"1,463",Sri Lanka,LKA
Sudan,"1,867",Sudan,SDN
Suriname,117,Suriname,SUR
Sweden,835,Sweden,SWE
Switzerland,592,Switzerland,CHE
Syria,"3,176",Syria,SYR
Taiwan,"4,759",Taiwan,TWN
Tajikistan,523,Tajikistan,TJK
Tanzania,"2,312",Tanzania,TZA
Thailand,"4,177",Thailand,THA
Togo,"1,276",Togo,TGO
Tonga,202,Tonga,TON
Trinidad and Tobago,"1,718",Trinidad and Tobago,TTO
Tunisia,463,Tunisia,TUN
Turkey,"4,359",Turkey,TUR
Turkmenistan,250,Turkmenistan,TKM
Turks and Caicos Islands,33,Turks and Caicos Islands,TCA
Uganda,"1,802",Uganda,UGA
Ukraine,"9,886",Ukraine,UKR
United Arab Emirates,"1,251",United Arab Emirates,ARE
United Kingdom,"9,655",United Kingdom,GBR
United States,187,United States,USA
Uruguay,699,Uruguay,URY
Uzbekistan,"1,347",Uzbekistan,UZB
Venezuela,"12,136",Venezuela,VEN
Vietnam,"29,995",Vietnam,VNM
"Virgin Islands, British",29,"Virgin Islands, British",VGB
Yemen,"5,908",Yemen,YEM
Zambia,401,Zambia,ZMB
Zimbabwe,674,Zimbabwe,ZWE
