Country,Total,NAME_LONG,ISO_A3
Ukraine,"8,193",Ukraine,UKR
United Arab Emirates,910,United Arab Emirates,ARE
United Kingdom,"12,984",United Kingdom,GBR
United States,319,United States,USA
Uruguay,"1,352",Uruguay,URY
Uzbekistan,"4,382",Uzbekistan,UZB
Vanuatu,7,Vanuatu,VUT
Venezuela,"9,572",Venezuela,VEN
Vietnam,"27,101",Vietnam,VNM
Yemen,"3,532",Yemen,YEM
Zambia,505,Zambia,ZMB
Zimbabwe,924,Zimbabwe,ZWE
